FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,1.8462048004334054e-09,1.80037642153323e-09,4.2142351655336605e-09,4.349518477028409e-10,1.0796625729505206e-09
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,2.078547643305674e-09,2.3293539165832123e-09,7.433649888068086e-09,1.1347796269709164e-09,4.545946954178376e-09
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,3.880802381691139e-09,5.182613977116074e-09,2.173619984289379e-08,4.480379632803659e-09,2.4562863109592655e-08
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,5.471125677019293e-09,8.181396421379938e-09,3.9850677118512294e-08,9.460447764904595e-09,5.746026054988347e-08
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,6.67170449313677e-09,1.0686485548077423e-08,6.1354327078972e-08,1.7943468768636896e-08,1.4837196913936256e-07
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,8.201554167557346e-09,1.383518824287723e-08,1.0484247722035838e-07,4.7158695612339544e-08,7.204401614437878e-07
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,1.842546199924422e-08,3.898569204691035e-08,4.2171830684575524e-07,2.8054874218713377e-07,9.977906121303608e-06
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,2.4324761429128372e-08,5.3245804910991395e-08,6.454120423369375e-07,5.383789841910226e-07,5.088523341874633e-05
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,2.5841639503049368e-08,5.2593371337452304e-08,6.349152416400516e-07,5.756288603615132e-07,0.00015822599731271495
