Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
4.426674457533989,0.00024854055089015977,5.8633397492300745e-05,3.8086146966501246e-05,2.2300077146050522e-06
10.532281868209248,0.002219887038547979,0.0017789338964215554,0.005949623542856675,0.0037643129367166467
16.720100678324297,0.005010717508441216,0.0059112028654239425,0.03442095061143324,0.05276909509482408
21.461384106621956,0.006794782450388992,0.009145463481964974,0.0648987188830233,0.1553782498420695
29.09820490798396,0.00861311096909565,0.012754993605836235,0.10404172386938881,0.4342514199299684
37.18908576207464,0.009564803919803655,0.014712574039972373,0.12576184129872708,0.8193149457607014
47.69145516254741,0.010150111458004235,0.0158641951108518,0.13749633735840164,1.366289997312491
63.19420244234109,0.010643562376642353,0.01669319963612028,0.14488255450535428,2.187452113675211
97.23451339084889,0.011627498177716121,0.018163389248615127,0.1579352746123059,3.9723219007378296
150.0,0.013351521154358965,0.020717781103287054,0.18096434451199978,6.6946906408792515
