Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
5.4818340013495,0.00045807774475810543,0.00015582098932307673,0.00016381019563938335,2.385996225113542e-06,4.902161257630453e-06,5.965956587941495e-07
12.814164296574386,0.003280403599170442,0.003188068107261218,0.01397817777894781,0.0010577303678799906,0.01581384243308761,0.003397053132609137
19.611269882117377,0.00639889568104686,0.008437761241533252,0.057956390221580854,0.008132430156352616,0.21297574345917727,0.06221860154854472
28.448684072791945,0.009194813539891855,0.013990168808299295,0.11976411022239829,0.026670886966166023,1.0642725231699284,0.40395827246115396
33.74290191588587,0.010246008023733119,0.016071157316866216,0.14434272064530732,0.03849299003625912,1.8376664203630009,0.7893537428558861
42.24985285012936,0.01159080181667024,0.01839144784908533,0.16915734561185536,0.05468648073812439,3.1408475784066123,1.589711054033464
52.48240911808258,0.013360908638388909,0.020974913779899265,0.1918986140693568,0.06991362905161094,4.427481701151502,2.5678033319987774
65.27331128729584,0.01618184227846803,0.025044830511476008,0.22678876766158165,0.08731323385032803,5.629332462383459,3.546742668622197
82.92891639889416,0.02061372609826797,0.031695915103207094,0.2869593461176073,0.11519391729924416,7.115351429462192,4.567196746802584
113.80304929854671,0.02860051540661022,0.043738001806394346,0.39647149442832297,0.17272157779887523,9.65029251879212,5.991470325977981
150.0,0.03849903744963634,0.05854762868371452,0.528687254290954,0.24655597094759346,12.239138524805172,7.224737746399289
