Time (s),C4_FA (uM),C6_FA (uM)
4.411576031664015,0.00024403101348823266,0.00029974832054226175
10.102118162998678,0.0018893164789003402,0.017945833750233134
15.11644025220039,0.003741799881945049,0.08146452692709164
21.30297731784728,0.005586895218910542,0.2311946396005346
28.545832130024657,0.006935636621553976,0.47632208651201446
34.27777743351075,0.007567487565850495,0.6987413328375958
41.674565771213565,0.00807651061095866,1.0018802938858475
52.01321301804681,0.008536988089627983,1.436084711011323
66.98865641229293,0.009061618127400337,2.0688833033532084
101.54464960695789,0.010236497113272708,3.526412354203152
150.0,0.011988980234041557,5.559879688494125
