C4_sat_frac,C6_sat_frac,C8_sat_frac,C10_sat_frac,C12_sat_frac,C14_sat_frac,C16_sat_frac,C18_sat_frac,C4_unsat_frac,C6_unsat_frac,C8_unsat_frac,C10_unsat_frac,C12_unsat_frac,C14_unsat_frac,C16_unsat_frac,C18_unsat_frac
0.06061338507447037,0.0873333948702088,0.4163145532473492,0.1284082473754358,0.2603053033335299,0.046723475003511504,0.00013659813740950428,0.00016504295808499907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.053184398096629566,0.07903720911571116,0.3961821318960932,0.12810972460385134,0.2857718437115087,0.057310757315448733,0.0001609886463024937,0.00024294661445485355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047059939236392304,0.07159233427668434,0.37396656409995926,0.1275514011753028,0.31072240309785076,0.06848647134368517,0.00024965077620724434,0.000371235993918171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14020915324209945,0.1561754227448847,0.5029211184252211,0.09532142883615329,0.0970108757753211,0.008346417601346435,6.9076637661664835e-06,8.675711207701483e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05304351954828255,0.07961115900010152,0.39969010710754027,0.12831627576007112,0.28271114864288194,0.056243869860897314,0.0001474819817107503,0.00023643809851452738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04822796502126885,0.07324568131492395,0.37868993809972024,0.12812564996100095,0.3049373306506809,0.0661469286576643,0.0002636105527762142,0.0003628957419645714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07381039888798491,0.1018005750382761,0.44875020601721055,0.12365364084741161,0.2182460193279417,0.03358069805387963,6.514318611507144e-05,9.331864118045299e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08355506377359095,0.11210165042413066,0.46822891549616547,0.1204084599846779,0.18982607197877438,0.02578276326829605,3.9443034648736755e-05,5.7632039715863675e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05671458118015287,0.08365215374603341,0.40935925137647583,0.12900513596257537,0.2706291081029477,0.05029993985252837,0.00014745540185168157,0.00019237437743488075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06831180904283811,0.09691847382488518,0.4426175387138901,0.12703904757479798,0.2294354157519868,0.03551780730439596,6.926622110112852e-05,9.064156610471645e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06449886052696127,0.09319279793720318,0.4351819769561735,0.12721310853491466,0.24024618968157216,0.03946931449293144,8.016428369672594e-05,0.00011758758654701475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07275387265899631,0.10143528405832768,0.4506237241764798,0.12424222847486419,0.21764560905913097,0.03314902727690456,6.45835221007523e-05,8.56707731958569e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0519319072087192,0.07872840780985609,0.4002538222739552,0.1301577809180559,0.28369232124324933,0.05489012006045976,0.00014998391330266588,0.00019565657240188817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10546559288875332,0.13103263344655036,0.4921481716031453,0.11102201025633938,0.14422654315564978,0.016066236381610047,1.6603222187375063e-05,2.220904576437763e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0629834660175673,0.09081360973019718,0.42906517106572034,0.1275896863862263,0.2474379874982393,0.04190243341084253,8.954905516333898e-05,0.00011809683604367082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05664110824253671,0.08269813441016198,0.4053104431291613,0.12812933558632295,0.2743603492024095,0.052506433142584866,0.00014679531599176695,0.00020740097083087936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08641805054037335,0.11343725078911104,0.4681483278442851,0.12026493656395468,0.1866466264299287,0.024995948011449755,3.836037369930466e-05,5.049944719795172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06812441238566024,0.09636280830746319,0.4400843837478406,0.1261588977147172,0.2320292632361534,0.03706032163994391,7.567302057145912e-05,0.00010423994764999789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07561488250041923,0.10362531231954954,0.4525970070056386,0.12364794892442378,0.21282272423743717,0.031545579362469434,6.285121016107275e-05,8.369443990112752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04545702332352093,0.06997869921305364,0.36864589749103227,0.12762120023065315,0.3163683462660374,0.07119826468217162,0.0003006642262944814,0.0004299045672365436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
