Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
5.496147676101392,0.0004613474112281181,0.0001575819759151731,0.0001665714034616672,1.9598041186042194e-05
11.237760156737902,0.0025315960508888236,0.0021656075883151956,0.007934943825369592,0.005747966976432982
17.40394482396744,0.005298222061042493,0.006407107134073124,0.038710660038544877,0.06374564605497181
24.53556369652868,0.007671857394674324,0.010854473585847384,0.08297430512499351,0.25322896168879533
33.338342532040656,0.009197441058159702,0.013957469805723427,0.11749532035362258,0.629017612654577
39.243875845042105,0.009716592302129725,0.01502085946989088,0.12904169020284575,0.9241013196783536
46.66634862406286,0.010108499866384266,0.015787075904297225,0.1367644063268436,1.3121028035985147
57.20787224743748,0.010470200185823097,0.016418480912957605,0.1425000185855997,1.870673759177983
73.70061122653992,0.010939347203558311,0.017141715294978734,0.1487988455017343,2.741140449888389
101.98121040270108,0.011772324989573753,0.018377969792318913,0.15986883224206305,4.219348210408192
150.0,0.013351521347314568,0.020717781628956645,0.1809643453844069,6.694690640885647
