Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
10.965556310001013,5.506579240025675e-09,4.643144980085778e-09,1.6990642126809476e-08,1.093589299142242e-09,2.5183632884840274e-08,4.303175197430616e-09
18.646494213073527,1.381828412667326e-08,1.797750521398977e-08,1.238877445510864e-07,1.829883279446743e-08,1.39743135468191e-06,3.348055710668124e-07
25.23828461827469,1.963240535700145e-08,2.9652826178660754e-08,2.5774265439509536e-07,5.709791497726473e-08,8.06931362952945e-06,2.3325768691853683e-06
31.596204128617636,2.3358836296904068e-08,3.7788358181944724e-08,3.651982890905176e-07,1.0564569723909906e-07,2.3510178895014898e-05,7.806499752304583e-06
41.002783549873676,2.6379019884886228e-08,4.4607185770936546e-08,4.583502551142375e-07,1.7161858820811574e-07,6.44978298670449e-05,2.5112640132878236e-05
50.14392945655518,2.7738141593978193e-08,4.76820245926415e-08,4.982986501431381e-07,2.1627004304538642e-07,0.00012073110021310564,5.280224785287501e-05
65.11547517632961,2.8596705587430673e-08,4.958430020279534e-08,5.207072605819034e-07,2.5387815972888777e-07,0.00023180279921439126,0.00011538669111215138
86.05093960041839,2.8904179468918498e-08,5.024110078792914e-08,5.277148989694735e-07,2.704212936242293e-07,0.00040165169228460843,0.00022093287125724624
110.24484437885323,2.8970789760943653e-08,5.037905208343222e-08,5.291402658667349e-07,2.743358082274158e-07,0.0006029226977585705,0.00035109565240176043
150.0,2.898355001763303e-08,5.0405078277894866e-08,5.294116014290211e-07,2.7509929202407976e-07,0.0009353209212994019,0.0005682672897758064
