FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,1.2646977920171347e-05
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,4.9327076598384025e-05
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,4.494382909351702e-06
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,1.9149513269081486e-06
3.0,3.0,3.0,3.0,2.0,30.0,3.0,3.0,3.0,1000.0,30.0,1000.0,0.00011603820537596143
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,1.0277413008863165e-06
4.0,4.0,3.0,4.0,4.0,40.0,4.0,3.0,4.0,2000.0,40.0,2000.0,0.0002070136539081408
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,4.2037429254966885e-07
6.0,6.0,6.0,6.0,5.0,60.0,6.0,6.0,6.0,3000.0,60.0,3000.0,0.0004653200796963464
