Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
4.528785570615698,0.0002657350531889794,6.530284739509861e-05,0.0001749852862432547
8.14161424023482,0.0012460182931369316,0.0007401057721658489,0.01052215533633965
14.208200376071357,0.003728295917078528,0.0038327279553132055,0.19088657503490003
18.575346818507768,0.005395468873948865,0.006559582074724447,0.548024410224853
24.0833198740752,0.006967796085237819,0.009430772410840692,1.2443797465893809
29.094601258992107,0.007963419015118803,0.011312670741094301,2.018418930194983
37.82269581959646,0.009182824902282432,0.01349249796655914,3.4605477048224826
51.38426280689169,0.010788351932156635,0.015989677069302863,5.639964959267109
72.89949226008108,0.013614690883222556,0.020181368193354053,8.87889651695562
99.60565974683982,0.01760721471974424,0.02612067423578656,12.659270038249378
150.0,0.026361794544340036,0.0391417375781234,19.129897743769043
