Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
4.714975613276136,0.0002991302307427881,7.899577746354912e-05,5.9486664693015356e-05,4.298035857342301e-06
9.630655415395015,0.001836729096902855,0.0013372866941219852,0.003916194045152163,0.0020381264675739356
14.454875282590242,0.004005801189008958,0.0042682308662870035,0.0213974700053694,0.025210339570619522
19.843588560326936,0.006243877126628424,0.008109000291966754,0.05452999016931938,0.11344135152073034
25.369673769280958,0.00787365659097164,0.01125677718452777,0.08737108775862741,0.28345881776956294
32.28901672925098,0.00907333033379974,0.013701479429222648,0.11464693009761241,0.5790641868692545
41.3499250970289,0.00984864478061562,0.015285235411080095,0.1317872072512116,1.0330376004561193
53.48835204653477,0.010355191782283698,0.016227325460705506,0.14081851538640583,1.6734878706779555
66.6069149117318,0.010739778929873035,0.016840941435776757,0.14616469920767453,2.367622550939361
93.90862956994782,0.01152723707422807,0.018014832536890655,0.1565978226042967,3.798988211420716
150.0,0.013351521172226044,0.020717781121238704,0.18096434477267956,6.694690639528298
