Time (s),C4_FA (uM),C6_FA (uM)
3.631896753483594,0.00013479379867427588,9.453351600304804e-05
8.814495542764591,0.001427450013204567,0.010021624801383522
13.820426317586824,0.003277599919433182,0.05978785351406965
18.658654700877385,0.004881232852643426,0.1586016290929958
23.158664385703894,0.0060083265989588,0.2884281332500835
29.993341292336066,0.00712327961817479,0.5308580159988154
36.76724247829324,0.007766977721615662,0.7994274115811296
50.960649728214534,0.008496493345001225,1.3916722584593424
66.90486810728743,0.009058797008425082,2.0653427506139788
107.31682793478718,0.01043830908057335,3.7693019754655746
150.0,0.011988980181620134,5.559879690673677
