Time (ms),MalACP (uM)
0,0
0.0103121367924110,3.56398067947676e-06
0.102647805722240,0.00314377022550195
1.03407760289713,0.165877340651884
5.32037945331178,0.987049395636709
10.7623819150887,1.93593391765900
15.5390159207929,2.68845524844397
20.7567422108446,3.43152154262199
25.9744685008964,4.09896906866181
31.1921947909481,4.69746640485121
35.8720509473163,5.18078556861221
40.5519071036845,5.61796237365158
45.2317632600527,6.01299046198596
49.9116194164209,6.36959282145855
54.5914755727891,6.69122700291151
59.2713317291573,6.98109361830502
64.1962876827476,7.25507518279531
69.1212436363380,7.50029791830511
74.0461995899283,7.71963949259999
78.9711555435186,7.91571712749937
83.0189786328395,8.06113429416448
87.0668017221603,8.19365042397296
91.1146248114811,8.31437623522200
95.1624479008020,8.42433157618050
99.2102709901228,8.52445232843820
103.258094079444,8.61559758086916
107.536742264327,8.70305510306261
111.815390449210,8.78221530514059
116.094038634093,8.85385158021572
120.372686818975,8.91866727299010
124.651335003858,8.97730287077248
128.929983188741,9.03034112382390
133.208631373624,9.07831055620552
137.626053685087,9.12302515425947
142.043475996550,9.16332464690679
146.460898308012,9.19964192345447
150,9.22612985110201
