Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
4.776594870555378,0.00031060837891846955,8.391347727917241e-05,6.510421559210429e-05,1.5849818577060456e-06,2.043586240227201e-06
8.991791818703783,0.0015823951582178823,0.001067549236701489,0.002814302363169553,0.00028196139097906114,0.0021520393225744313
14.657781261954202,0.00418319880283562,0.004560873785939188,0.023581640251284626,0.005236145052468473,0.09462955792687976
20.84426685625774,0.006938679293771075,0.009452114729067495,0.06804128169409232,0.02361712581280146,0.6680237705232405
26.55240427146405,0.008781005909789258,0.013081319946439384,0.10792262376018649,0.048231579416408626,1.8428170321942314
35.62048607083945,0.01069655970208989,0.016698251930741127,0.14870616150828042,0.08447672444142201,4.4796082666279595
50.15590948334326,0.01358214774768285,0.02105058512898045,0.18874613799991463,0.12507530785420595,8.090548115361546
72.15613263865423,0.01942965464860278,0.029747372194284954,0.2662000344738127,0.18430966636408672,11.71584465887675
96.81359948482347,0.026360688044446603,0.040251466832202376,0.3625696090771734,0.2602778630075541,15.317301475518885
150.0,0.04226414684949524,0.0641139946917269,0.5763003844515945,0.4282512844621422,21.218067272817112
