FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.04226414684949524,0.0641139946917269,0.5763003844515945,0.4282512844621422,21.218067272817112
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707431979523154e-06,8.498548836417477e-08,2.963088325397013e-09,3.273045789371642e-12,5.3554770575714395e-14
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905093526214684e-05,6.131121203894185e-06,1.72880601590192e-06,1.779619335884443e-08,3.1648939166003728e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428829692526239e-05,2.5474281511344587e-05,1.0211874302609722e-05,1.4771768926331444e-07,3.816339709975874e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738951824958945,4.811125915933397e-05,3.556672494712914e-05,1.0319549438213979e-06,5.431108156092999e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498999398048492,0.00014173790401409998,0.0001723543642972941,8.756628765008875e-06,8.008808560342505e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770571725800658,0.00017821024705085546,0.00024073008802399652,1.3604605903902127e-05,1.3891719416172974e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004613754072148666,0.0003562400835747837,0.0006595375963271419,5.425559851952179e-05,8.054905283045811e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008059089934506004,0.0007816879015915819,0.0017723472045907377,0.00017115883627716848,0.00026665258677445415
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009017026577820919,0.0010045417418115482,0.0030974075907727514,0.00044242791392936666,0.0010779925517323229
