Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM)
6.596514334648869,0.0007493597441011753,0.00033764961915204385,0.0005159456458125058,1.1451886340330231e-05,1.4099404364615509e-05,5.261226575486833e-07,1.9563179361206404e-06,3.961260856239889e-08
13.954115226161287,0.0038321137025080386,0.004011525583997716,0.01957038411872479,0.0016909777503018662,0.00838239622673289,0.0018605873913378496,0.00198710527693083,0.00023732797224484248
21.399826353969523,0.007185299188177872,0.009972665198226658,0.07418739273755011,0.011752032180209565,0.09231258158014358,0.04241444667916717,0.029792244599028076,0.007576397467458765
31.22488790024912,0.010061615668781217,0.01591146438275383,0.1452147467946682,0.03668890748989122,0.36324096214427654,0.3252603004749626,0.15102922583316206,0.07825463247500547
40.15124109864105,0.011514706322675296,0.01882669245741109,0.1809977419507537,0.058885086186330066,0.6286378013074957,0.9012467427277358,0.30735605835949,0.265145552742133
45.80488570940822,0.012227088145869253,0.020064576986340107,0.19435140029346756,0.07010859703308021,0.7627487355469571,1.3762097584826511,0.4044292170486127,0.4505512630697914
54.44172075872575,0.013333059615385947,0.021742297792358808,0.20981491791208046,0.08339817798961184,0.9153995700343102,2.140518336516275,0.532384177501823,0.8046963405262331
66.90165562066062,0.01527103727084732,0.024498267521235885,0.2330584834173258,0.0981226920573408,1.0739827622141385,3.1353613350793528,0.6709457477826474,1.3712071406554005
83.82980531722382,0.018526469454653735,0.029227775638736818,0.2741376092491354,0.11759354576423127,1.279494033855907,4.210110471686717,0.8142789036150417,2.095384150603622
108.95032558376364,0.023926850276575685,0.03727982230978291,0.34630391698002866,0.15254707545511176,1.6482682299237448,5.521898874218,1.0181969622012004,2.9956280125833357
149.03901495411748,0.03314818722358773,0.05103772127195735,0.4689339375236182,0.21842175291845303,2.3102078035950107,7.369747421769432,1.336975722244741,4.114893903885402
