Time (s),C4_FA (uM),C6_FA (uM)
4.461223244588722,0.0002521893738757163,0.0003196034150563041
8.17362060906873,0.0012100126128614464,0.007148061848973711
14.00309817719404,0.0033442059796547578,0.06262028505267195
19.739916127780198,0.005185107872988579,0.18688976860523365
23.928199861224474,0.006166354350985015,0.3134630102985441
30.226241340051992,0.007151474255047719,0.5397532455141836
36.41390720285463,0.007740749249508521,0.7850329081221504
49.23679137614152,0.008428028677314025,1.3189930952594275
68.98001866782886,0.009128553161521545,2.153024058481553
93.93935623089847,0.009973377596124523,3.2061276022794574
150.0,0.011988980194906865,5.559879689687903
