Time (s),C16 Equivalents (uM),C16 Equivalents (uM)_sigma
72.0,0.23439765845979169,0.03577130805686003
144.0,0.701158651462306,0.08154051901596134
216.0,1.2826271406742658,0.11854079723549359
288.0,1.4913754751598598,0.14929668980195004
360.0,1.3699756508715693,0.1758638019628813
432.0,1.8930021241797295,0.1994039675699928
504.0,1.9687811365195114,0.22063383315254034
576.0,2.3359840960992027,0.24003079533610028
648.0,2.0645098441024263,0.2579311581857854
720.0,2.712206116168977,0.2745819912781086
