Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
3.3734867099932613,0.00010676608350811817,1.4753625583040598e-05,4.7893288902136205e-06,4.3133934247800845e-08,7.505474145251561e-09,1.4823927984088444e-11,1.5635460814173921e-10,1.9839095871493256e-13
6.765073330370001,0.0007993681277488838,0.00037340074367714186,0.0005987662766912829,3.369830924220261e-05,4.3580471523660726e-05,8.588697796394998e-07,1.1405494181724216e-08,2.760103308071076e-11
10.995012058349026,0.0024412806214372047,0.002054546579550889,0.007350567586507091,0.0010508415369391516,0.0036409027524329143,0.0002442756558713233,1.0713510671798364e-05,2.4982147978804535e-08
15.476655720706548,0.0046058399328528545,0.005255593658088555,0.0290477573073746,0.0069683182252742,0.039801888294644344,0.005332999186442602,0.0004278749904878076,1.7598203898090806e-06
22.278760377936862,0.007666833225262326,0.010926965275827212,0.08446466124063327,0.03178936780539126,0.26240706756534965,0.06689804943824018,0.009165765486538795,6.317534169451185e-05
32.11680067373058,0.010537099263342937,0.016857204355185448,0.15598606534838252,0.0839843043036784,0.8551240585091816,0.4102739561148162,0.10495505227543801,0.0013502506233798678
45.75831756547802,0.012760935284284255,0.020977599333218522,0.20330137082156205,0.1378393068609431,1.5069759955136253,1.304412196583338,0.6160814916924698,0.01520563425365357
68.31921067226246,0.016539740444763498,0.0265186039152036,0.25196963619932256,0.18669640382038388,2.0264113866797806,2.7712972491524055,2.0307187357424734,0.08258079555092843
106.55605233470138,0.025204699018982483,0.03930916315774699,0.3651241242699982,0.2718416445951641,2.9127571073934524,4.619772457952902,3.9059459214889882,0.19943148250904108
150.0,0.03631076135509211,0.055873882791785165,0.5122952346004852,0.3852583082253166,4.026951634169367,6.447268706970222,5.240336415171834,0.2687850849584331
