matlab_param,matlab_index,yaml_rate_key,reaction,scaling_group,value_at_published_pvec,reactants,products
k3_5r,9,C20_C2_koff_H_Act_AcACP,C20_C2_FabH_Act_inhibition_by_AcACP_unsat,(1/e),1.3489772220944278,C22_FabH_Act_AcACP_unsat,C20_AcACP_unsat + C2_FabH_Act
k3_inh_f,,kon_H_ACP,FabH_inhibition_by_ACP,e,0.000695672449193,ACP + FabH,FabH_ACP
k3_inh_r,,koff_H_ACP,FabH_inhibition_by_ACP,,0.091574,FabH_ACP,ACP
k4_1f,1,kon_G_NADPH,FabG_binding_NADPH,,60.24957791216,FabG + NADPH,FabG_NADPH
k4_1r,1,koff_G_NADPH,FabG_binding_NADPH,,602.4957791216,FabG_NADPH,NADPH
k4_2f,1,kon_G_BKeAcACP,C4_FabG_binding_BKeAcACP,,9.698211117082352,C4_BKeAcACP + FabG_NADPH,C4_FabG_NADPH_BKeAcACP
k4_2f,2,kon_G_BKeAcACP,C6_FabG_binding_BKeAcACP,,9.698211117082352,C6_BKeAcACP + FabG_NADPH,C6_FabG_NADPH_BKeAcACP
k4_2f,3,kon_G_BKeAcACP,C8_FabG_binding_BKeAcACP,,9.698211117082352,C8_BKeAcACP + FabG_NADPH,C8_FabG_NADPH_BKeAcACP
k4_2f,4,kon_G_BKeAcACP,C10_FabG_binding_BKeAcACP,,9.698211117082352,C10_BKeAcACP + FabG_NADPH,C10_FabG_NADPH_BKeAcACP
k4_2f,5,kon_G_BKeAcACP,C12_FabG_binding_BKeAcACP,,9.698211117082352,C12_BKeAcACP + FabG_NADPH,C12_FabG_NADPH_BKeAcACP
k4_2f,5,kon_G_BKeAcACP,C12_FabG_binding_BKeAcACP_unsat,,9.698211117082352,C12_BKeAcACP_unsat + FabG_NADPH,C12_FabG_NADPH_BKeAcACP_unsat
k4_2f,6,kon_G_BKeAcACP,C14_FabG_binding_BKeAcACP,,9.698211117082352,C14_BKeAcACP + FabG_NADPH,C14_FabG_NADPH_BKeAcACP
k4_2f,6,kon_G_BKeAcACP,C14_FabG_binding_BKeAcACP_unsat,,9.698211117082352,C14_BKeAcACP_unsat + FabG_NADPH,C14_FabG_NADPH_BKeAcACP_unsat
k4_2f,7,kon_G_BKeAcACP,C16_FabG_binding_BKeAcACP,,9.698211117082352,C16_BKeAcACP + FabG_NADPH,C16_FabG_NADPH_BKeAcACP
k4_2f,7,kon_G_BKeAcACP,C16_FabG_binding_BKeAcACP_unsat,,9.698211117082352,C16_BKeAcACP_unsat + FabG_NADPH,C16_FabG_NADPH_BKeAcACP_unsat
k4_2f,8,kon_G_BKeAcACP,C18_FabG_binding_BKeAcACP,,9.698211117082352,C18_BKeAcACP + FabG_NADPH,C18_FabG_NADPH_BKeAcACP
k4_2f,8,kon_G_BKeAcACP,C18_FabG_binding_BKeAcACP_unsat,,9.698211117082352,C18_BKeAcACP_unsat + FabG_NADPH,C18_FabG_NADPH_BKeAcACP_unsat
k4_2f,9,kon_G_BKeAcACP,C20_FabG_binding_BKeAcACP,,9.698211117082352,C20_BKeAcACP + FabG_NADPH,C20_FabG_NADPH_BKeAcACP
k4_2f,9,kon_G_BKeAcACP,C20_FabG_binding_BKeAcACP_unsat,,9.698211117082352,C20_BKeAcACP_unsat + FabG_NADPH,C20_FabG_NADPH_BKeAcACP_unsat
k4_2r,1,koff_G_BKeAcACP,C4_FabG_binding_BKeAcACP,a2,164.8695889904,C4_FabG_NADPH_BKeAcACP,C4_BKeAcACP + FabG_NADPH
k4_2r,2,koff_G_BKeAcACP,C6_FabG_binding_BKeAcACP,a2,164.8695889904,C6_FabG_NADPH_BKeAcACP,C6_BKeAcACP + FabG_NADPH
k4_2r,3,koff_G_BKeAcACP,C8_FabG_binding_BKeAcACP,a2,164.8695889904,C8_FabG_NADPH_BKeAcACP,C8_BKeAcACP + FabG_NADPH
k4_2r,4,koff_G_BKeAcACP,C10_FabG_binding_BKeAcACP,a2,164.8695889904,C10_FabG_NADPH_BKeAcACP,C10_BKeAcACP + FabG_NADPH
k4_2r,5,koff_G_BKeAcACP,C12_FabG_binding_BKeAcACP,a2,164.8695889904,C12_FabG_NADPH_BKeAcACP,C12_BKeAcACP + FabG_NADPH
k4_2r,5,koff_G_BKeAcACP,C12_FabG_binding_BKeAcACP_unsat,a2,164.8695889904,C12_FabG_NADPH_BKeAcACP_unsat,C12_BKeAcACP_unsat + FabG_NADPH
k4_2r,6,koff_G_BKeAcACP,C14_FabG_binding_BKeAcACP,a2,164.8695889904,C14_FabG_NADPH_BKeAcACP,C14_BKeAcACP + FabG_NADPH
k4_2r,6,koff_G_BKeAcACP,C14_FabG_binding_BKeAcACP_unsat,a2,164.8695889904,C14_FabG_NADPH_BKeAcACP_unsat,C14_BKeAcACP_unsat + FabG_NADPH
k4_2r,7,koff_G_BKeAcACP,C16_FabG_binding_BKeAcACP,a2,164.8695889904,C16_FabG_NADPH_BKeAcACP,C16_BKeAcACP + FabG_NADPH
k4_2r,7,koff_G_BKeAcACP,C16_FabG_binding_BKeAcACP_unsat,a2,164.8695889904,C16_FabG_NADPH_BKeAcACP_unsat,C16_BKeAcACP_unsat + FabG_NADPH
k4_2r,8,koff_G_BKeAcACP,C18_FabG_binding_BKeAcACP,a2,164.8695889904,C18_FabG_NADPH_BKeAcACP,C18_BKeAcACP + FabG_NADPH
k4_2r,8,koff_G_BKeAcACP,C18_FabG_binding_BKeAcACP_unsat,a2,164.8695889904,C18_FabG_NADPH_BKeAcACP_unsat,C18_BKeAcACP_unsat + FabG_NADPH
k4_2r,9,koff_G_BKeAcACP,C20_FabG_binding_BKeAcACP,a2,164.8695889904,C20_FabG_NADPH_BKeAcACP,C20_BKeAcACP + FabG_NADPH
k4_2r,9,koff_G_BKeAcACP,C20_FabG_binding_BKeAcACP_unsat,a2,164.8695889904,C20_FabG_NADPH_BKeAcACP_unsat,C20_BKeAcACP_unsat + FabG_NADPH
k4_inh_f,,kon_G_ACP,FabG_inhibition_by_ACP,,0.00241,ACP + FabG,FabG_ACP
k4_inh_r,,koff_G_ACP,FabG_inhibition_by_ACP,,0.091574,FabG_ACP,ACP
k5_1f,1,C4_kon_Z_BHyAcACP,C4_FabZ_binding_BHyAcACP,,1.3807828077945998,C4_BHyAcACP + FabZ,C4_FabZ_BHyAcACP
k5_1f,2,C6_kon_Z_BHyAcACP,C6_FabZ_binding_BHyAcACP,,2.9440998034,C6_BHyAcACP + FabZ,C6_FabZ_BHyAcACP
