FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,5.491908773593677e-09,8.21875386361503e-09,4.0078797388073177e-08,9.515649223270834e-09,2.3668492842472173e-08,5.088946646214334e-11
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,6.719038515314344e-09,1.0775497149001382e-08,6.198826640752401e-08,1.81313842933728e-08,5.867408698340465e-08,1.8272666722282242e-10
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,8.428316240697496e-09,1.4211104650474542e-08,1.0789238463515296e-07,4.8394752721774666e-08,2.831811961395292e-07,1.910564862852543e-09
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,1.975341408930527e-08,4.203502543399665e-08,4.631336884900098e-07,3.0941952902799456e-07,2.7379428259883857e-06,4.9258909560675194e-08
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,2.7702344153524774e-08,6.164279252091484e-08,7.801921001350509e-07,6.708517365041426e-07,8.348246987600042e-06,4.802313380876609e-07
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,3.127203354064382e-08,6.564451397340863e-08,8.450544274153203e-07,8.156829795026923e-07,1.2163494954997262e-05,2.5355351067062766e-06
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,2.8796803987617206e-08,6.090634585450522e-08,7.894498143626774e-07,7.691228508927348e-07,1.1581607925196094e-05,6.554046680826753e-06
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,3.1556771130184026e-08,6.468036399858963e-08,8.15391794515878e-07,7.828214778029616e-07,1.171919634787884e-05,1.179336846214213e-05
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,3.1751911070052444e-08,5.875762556263853e-08,6.74507384760347e-07,6.141857592059258e-07,8.869547864735913e-06,2.973649448057112e-05
