Time (s),C3_MalCoA (uM),C3_MalACP (uM)
1.3433385672477107,0.420059257684434,0.5748340162304113
14.495556170223978,0.264580534642747,0.7301577347394209
30.557526249423468,0.26458038588437294,0.7301578833570608
54.278193499047354,0.2645803851317925,0.730157884108928
112.69401513642774,0.2645803850392858,0.7301578842013492
154.39650127714052,0.26458038503185577,0.7301578842087711
191.41801175740522,0.26458038503185544,0.7301578842087716
248.90343148336078,0.26458038503185427,0.7301578842087701
419.8678062206238,0.2645803850318559,0.730157884208772
526.3384950595316,0.2645803850318574,0.7301578842087743
632.8926907171499,0.26458038503185527,0.7301578842087714
