FabD (uM),C3_MalCoA (uM),ACP (uM),C3_MalCoA (uM),C3_MalACP (uM)
0.001,0.1,10,0.004224540092457307,0.09565464020752149
0.001,0.1,100,0.0004528636564119733,0.0995089333463593
0.001,1.0,10,0.26562606101594494,0.733846449910155
0.001,1.0,100,0.042283528346575075,0.9574391432517819
0.01,0.1,10,0.004180521465666359,0.09462282410361467
0.01,0.1,100,0.0004513179228238741,0.09916791158779639
0.01,1.0,10,0.26458038503185544,0.7301578842087723
0.01,1.0,100,0.0421819942491872,0.955049730128009
