Time (s),C4_FA (uM),C6_FA (uM)
3.3825975013172838,0.00010737216521388202,6.0843025438985716e-05
8.328817717815015,0.0012617105186367343,0.007783945712387326
13.101628682704439,0.003012511776183201,0.049358066056548244
17.670691628509257,0.004585023101669432,0.13459594931443306
22.03240593711532,0.005759556971575225,0.2531311985608524
28.610158318364928,0.006944451228054335,0.4787163878465342
34.85081861417055,0.007616614654146096,0.7217555532838129
48.04853336175957,0.008378981815295195,1.2689498682756044
62.566726519712354,0.008912044001604436,1.8820016354325155
98.28487669141322,0.010123335427571472,3.3891679738328566
150.0,0.011988980181494911,5.559879690235633
