Time (s),C16 Equivalents (uM),C16 Equivalents (uM)_sigma
3.8135406697743672,0.01085954501328959,0.010007134137437377
8.7836903006625,0.0239088251717482,0.010899461531109739
16.193765114011835,0.19154213980984122,0.026715081278510404
25.023705502239988,0.6054696476539089,0.07967408966617742
38.36005605605354,2.109676011508443,0.1882088665093871
60.75808409823385,3.9346008538240156,0.36477804418449344
104.20020045875894,6.410852045785592,0.6757130136989126
257.0809015530035,15.55735867130592,1.5317796381886783
486.0693619520507,21.040542095453205,2.342311706246256
720.0,32.9558553242378,2.8595449947941187
