FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.038499032661770634,0.05854761203639408,0.528686982687461,0.24655586464437823,12.239137236115639,7.224739471407549
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290506066221093e-05,6.131111162588714e-06,1.7287981082377793e-06,7.763494876311233e-09,1.4135309279384268e-09,8.830782053213977e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428826647104696e-05,2.5474269056239135e-05,1.021187729477281e-05,7.487768288778741e-08,1.9855342739501788e-08,1.3090197706777592e-08
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825369721929997e-06,8.649884353613511e-08,2.909624154746542e-09,1.4380757987623763e-12,2.31113307345682e-14,1.1621809643352488e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738478111218256,4.8108511801147857e-05,3.556431875270789e-05,4.331974486846182e-07,2.340222410513287e-07,1.39427296072909e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498796279955152,0.00014172201524584034,0.00017233291213509323,3.451648296760257e-06,3.265099504884448e-06,2.6721131704001713e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769850161233179,0.0001781491083606976,0.00024063745380593118,5.563845205164692e-06,5.8324517549597355e-06,3.6773308469125677e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046098173039824683,0.0003558547313431614,0.0006587556495369031,2.010265968630024e-05,3.0461601475584574e-05,1.786735657300046e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008049285446460955,0.0007805518083588333,0.0017697434836311296,7.321445159580445e-05,0.00011749822455593838,7.708575639236047e-05
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008987088542676364,0.0010007821506980493,0.0030860113685071415,0.00016596338708186568,0.00041202354294359847,0.00025671946490260885
