FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabA (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,500.0,10.0,500.0,4.494074435349174
0.01,0.01,0.01,0.01,0.01,0.1,0.01,7.0,0.1,7.0,1.7586789174064402e-05
0.02,0.01,0.02,0.02,0.02,0.2,0.01,8.0,0.2,8.0,0.0001859311741410569
0.03,0.03,0.03,0.03,0.03,0.3,0.03,20.0,0.3,20.0,0.0011679440657013699
0.04,0.04,0.04,0.04,0.04,0.4,0.04,20.0,0.4,20.0,0.0028620743557508294
0.06,0.07,0.07,0.06,0.07,0.6,0.07,40.0,0.6,30.0,0.009963087115087794
0.08,0.07,0.08,0.08,0.07,0.8,0.07,40.0,0.8,40.0,0.0197409531501459
0.1,0.1,0.1,0.1,0.1,1.0,0.1,60.0,1.0,60.0,0.03608865154297035
0.2,0.2,0.2,0.2,0.2,2.0,0.2,90.0,2.0,100.0,0.1791931883364296
0.3,0.3,0.3,0.3,0.3,3.0,0.3,200.0,3.0,200.0,0.4254542172717245
