Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
4.562718827533859,0.0002717819699173415,6.77171224069417e-05,4.724794796745535e-05,3.0621233637600355e-06
9.461144829223366,0.001767047925498259,0.00126130085548842,0.0035941942186682478,0.001797183506665057
15.171696483495062,0.004330850338776146,0.004783330001255862,0.025271551271428067,0.03252685340573444
21.256024098392903,0.006728324910824681,0.009018822453342132,0.06360523380495212,0.1496703575562014
26.444641977147786,0.008112895030759366,0.011737619016226712,0.09267943307788948,0.3244588380271468
34.589201670653,0.009330745647946163,0.014232233917738691,0.12053183275364913,0.6897541784775482
43.06348173879929,0.009942150520202295,0.01546923067506759,0.13365195930396653,1.122493583334676
54.24163230124219,0.010379206401544676,0.016267943228393922,0.141178777187605,1.7134341771033732
71.16171786473966,0.010867745328747812,0.017034406132651295,0.14785487563019273,2.6076027869759573
98.88161017833586,0.01167752250335628,0.01823750760677464,0.15860296489925854,4.058086839521551
150.0,0.013351521243821343,0.02071778132282832,0.18096434452748475,6.69469064113656
