Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
5.521953679234977,0.00046736905881445095,0.00016085575027763787,0.00017174611436811493,6.039829042291183e-06,4.676421944525807e-06,5.021209072993733e-08,4.771950443337268e-10
13.184951292677763,0.0034788295955982935,0.003480393957534917,0.015897922294843478,0.0030301902809458225,0.013957077216469032,0.001372424781148433,0.00010324590063247984
20.039735622082635,0.0067436588211173916,0.009111301204290956,0.06486876230172905,0.02162436489155542,0.16311190762603633,0.03465580406224574,0.004663907627310961
29.26091579367084,0.009878597972307723,0.015491782336298297,0.13895211988134765,0.06895638662903666,0.6750410493698049,0.2754201595070727,0.06635466678275671
34.732370082272325,0.011045883004595403,0.017885956076418054,0.1686406807122601,0.09662453090479178,1.0091590455435293,0.5547553709142404,0.18200213658164793
41.93105748274091,0.012199011537931854,0.020039627128754477,0.19355236481029375,0.12555319637184686,1.3615902521715126,1.0279102050754831,0.4657226454098059
49.700444605049896,0.013323335664233438,0.021848691538767125,0.21144729610886667,0.14805680539119925,1.6213467374309667,1.5831553408226573,0.9169868184532158
64.01589211443266,0.015699941488268705,0.025300572903508768,0.24134447938066247,0.1779326694976698,1.9350253250146028,2.517413768316611,1.9001043345797073
80.99093800083365,0.019195389278571933,0.030380347333969666,0.2854598528067435,0.21179704739606023,2.2867179833366067,3.4244787614490573,2.960975018249105
111.10265546305261,0.02632137029421583,0.04097335669195306,0.37989974672365096,0.28294153365297864,3.02616419719678,4.8219505960021865,4.345540642481221
150.0,0.03631076395911749,0.0558744849838281,0.5122544893805066,0.38509244195179787,4.026009768649343,6.4544198695766335,5.560123866590498
