C4_sat_frac,C6_sat_frac,C8_sat_frac,C10_sat_frac,C12_sat_frac,C14_sat_frac,C16_sat_frac,C18_sat_frac,C4_unsat_frac,C6_unsat_frac,C8_unsat_frac,C10_unsat_frac,C12_unsat_frac,C14_unsat_frac,C16_unsat_frac,C18_unsat_frac
8.233277288409033e-05,0.00012429198691416666,0.0010958575010287127,0.0008944742040871631,0.011370985335583162,0.05932148915749231,0.5625440622398489,0.36456650680216146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.157780383729505e-05,0.00010808767042518726,0.000954682925222113,0.0007796326382624411,0.009922184878972382,0.05121974091583051,0.51507857347842,0.4218655196890299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.492323925022623e-05,0.00011298350409295355,0.0009978576880334338,0.000815307344548854,0.010384913914607158,0.0538675519096091,0.5226409870925736,0.41110547530728486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.958277978396817e-05,0.00013528162568744018,0.0011952456535118969,0.0009757982595261352,0.01239852716853489,0.06280018521088028,0.5521376209143116,0.3702677583877639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.412094766047806e-05,9.668326390586788e-05,0.0008538039249504432,0.0006974944126514293,0.008904389485288215,0.04620415921639264,0.5116348063830533,0.4315445423660976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.581819741685284e-05,0.00011409027818367942,0.0010054024036589783,0.0008214982915255356,0.010490167496008056,0.05572137824521487,0.5482231895252463,0.38354845556274575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.38053278536672e-05,0.00011150556669366297,0.0009856583119100463,0.0008053069393447323,0.010249786240847063,0.05296455154269158,0.5359120469801083,0.39889733909055086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.080613205061224e-05,0.00010700081855575128,0.0009462195750638262,0.0007732358798801933,0.009849057189366342,0.05086364593078502,0.5266253021389606,0.4107647323353374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.159353893918692e-05,0.00010811127176027126,0.0009553866590828111,0.0007801702821522951,0.00993091481052278,0.05060184181687676,0.5400904206053406,0.3974615610153253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.612777524837221e-05,0.00011519092503553466,0.0010188707649678938,0.000831808214728826,0.010560947537203573,0.05315111867002263,0.5397894143981877,0.39445652171460555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
