ACP,FabB,FabD,FabF,FabG,FabH,FabI,FabZ,TesA,C2_AcCoA,C3_MalCoA,NADPH,NADH,total_production,mean_chain_length
1.0062865110546697,5.300814738529125,0.4710792473233366,0.09649725588454233,0.9336584083536865,0.2650468968314633,1.012200063053987,1.051936060162797,0.10762058081067549,537.1044436911931,490.28804212506395,1019.5388483912968,1014.1853379039607,4.331056166066893,16.548641475570502
0.9933947568354349,5.159268308906546,0.4658780099816887,0.10669139757563954,1.0151945003743499,0.24264497912711866,0.9526317840695671,0.9839348697635544,0.09538418543269683,519.9538080630577,493.11581396564225,923.068879549626,1080.633312513551,3.9870236239595673,16.68734774844886
1.0320211325221642,5.139584990423786,0.49421935161269476,0.10291102924286571,1.0673903488652998,0.23486747003982092,1.0774904782800725,0.9259357451956662,0.09773352461779702,526.8220509072247,468.9972207637984,1059.4641925497986,964.7211254897229,4.025631417781032,16.658032571653425
1.005245005857652,4.056931210969316,0.5569375131213259,0.09124099717359944,0.981793261981764,0.24639012145301495,0.9393487468729879,0.9887644144670615,0.09608608919600473,515.8256058409007,479.8187338827149,976.9373310333733,939.8988618639406,4.007075976953407,16.547496473280095
0.9732165313419444,5.065157437266735,0.5069385090308365,0.10520701099093345,0.9365720191704844,0.23977406301823057,0.9743187338729596,1.0846352999290996,0.09299409913752898,483.32213513873046,501.4284248957883,959.7059646081451,937.2648199920052,4.112746489764355,16.72231152647176
1.0180797527454741,4.993638670826864,0.519072970837515,0.09462604252388374,0.9233359761125086,0.2343675002596426,1.071170793754798,1.0804618431706832,0.10311296831802987,491.7908158880143,451.68268627585564,1001.93783659358,976.2102704413874,4.35683410124476,16.598670554521767
1.065200002256507,4.963238623288417,0.5053179586567159,0.09911043026708685,0.9659674142693032,0.25546922190283716,1.1244906056374064,0.9763456923856633,0.09473573386522988,522.6632605813379,502.4499169924085,1022.5357399097387,1025.0180941217168,4.2651596632161155,16.6361486023998
1.047354048156462,4.842355502507245,0.5195745541527147,0.10334056710841948,1.0789771911084536,0.25997715384497255,0.9954136760539303,1.01540576001775,0.09657887578731367,482.8143469529862,515.1485129297944,988.6996503210784,992.1748390094893,4.334657389908964,16.66627709040168
0.9648132382096504,5.013841243728389,0.4664227837383762,0.0985007341970041,0.9896130231233794,0.24310335728511098,0.9792882887161822,1.0306372870015323,0.1047138646184735,471.9662527120992,534.3317489540127,1033.0020168198823,965.5359233148608,4.125051297303963,16.639731429004353
0.9367289264476973,5.103029351282084,0.4892372007451854,0.10559472027808604,0.9481028312971775,0.2565452865455611,0.8746434031509565,0.9260417423263099,0.10432606574903575,498.9055641843015,511.39235383898085,911.695116915402,944.5769244082836,3.7605422329671985,16.6251597579789
0.9688362768731323,4.934052959864844,0.506533771140251,0.10380631880256581,0.9695264577917785,0.24516216231350596,1.0855226008262295,0.9733538757318855,0.09689287893161658,454.55011591121547,528.935678968502,994.9969225261548,988.2369488252065,3.9733744183653883,16.699561939016274
1.002066298967362,4.884168965072532,0.4995520795986257,0.09211562194756513,0.9758227514348424,0.24875357338553974,1.01540910889963,0.9797293310748059,0.0934598028195654,480.4394703762962,507.5307722501618,1043.0515311692259,1031.0005952308743,4.036290519308576,16.61641198863557
