Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
4.660187357765554,0.0002889429368314782,7.471421839360529e-05,0.0002191698115088504
8.304537079027398,0.0013042676612403667,0.0007936881895291893,0.011858510314082374
14.466135900935829,0.0038351508749531905,0.003994910249687692,0.20630261492146212
18.884708786497217,0.005499881478026505,0.006742751172890782,0.5807017694887614
22.862365562931174,0.0066690685953065924,0.00886992134493924,1.0718821308968638
29.670729461863274,0.008059079555727823,0.011491634803979649,2.1118430097130747
36.14304511379639,0.00897492828783273,0.013140384374712929,3.1821539693678917
48.99631097833763,0.01050096201270722,0.015559803878351892,5.265887858121496
68.86502736377267,0.013054575009331224,0.01934953627541236,8.286092244869446
93.42839478977149,0.016641738867898378,0.024684143611473072,11.806891404994476
150.0,0.026361794683892176,0.039141737747252874,19.129897705610546
