FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,5.49230162048073e-09,8.219512815562538e-09,4.008392596676686e-08,9.517014953090445e-09,2.3672824425499907e-08,2.8301388854805972e-11,2.018040576811471e-14
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,6.7202895572316435e-09,1.0778024062591662e-08,6.2008254078577e-08,1.813793027302833e-08,5.870090865222474e-08,1.0101735513743104e-10,9.944887902292151e-14
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,8.440935517722492e-09,1.4233520473928536e-08,1.0809865712108711e-07,4.8490749597281415e-08,2.8383427794779056e-07,1.1188283810625763e-09,1.9109110882557262e-12
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,1.9901767686604772e-08,4.236851082138225e-08,4.6818461196206457e-07,3.133068345439276e-07,2.7819265893451475e-06,2.47082631164732e-08,1.1782020750106172e-10
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,2.857365219604683e-08,6.355615046661227e-08,8.132901242602052e-07,7.062263365878556e-07,8.953961864410649e-06,1.8977233943214136e-07,2.458831173949205e-09
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,3.44335482270491e-08,7.189767748255292e-08,9.434431628741178e-07,9.370487465998505e-07,1.4816849711498053e-05,6.864955880953157e-07,2.5818607402409486e-08
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,3.288387751981139e-08,6.88068095122465e-08,9.068026447174841e-07,9.179281755076728e-07,1.5054873785164826e-05,9.793873433256313e-07,1.01108375856455e-07
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,3.697769868047406e-08,7.528036376817916e-08,9.704065391299846e-07,9.743396900822216e-07,1.603236584942313e-05,1.185862901327878e-06,2.2818810463381838e-07
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,3.613354197759357e-08,6.705995067451017e-08,7.896582610030694e-07,7.478951803401348e-07,1.1629654696336791e-05,8.600525228558847e-07,8.262706974188443e-07
