Time (s),C4_FA (uM),C6_FA (uM)
4.608532392843645,0.0002772327082302764,0.0003844737225724499
9.644193171846549,0.0017220415897424217,0.01477811372640816
14.226681095162121,0.0034252460750301837,0.06618708407291662
20.339185048858354,0.00534435161317438,0.20341975886714359
24.592775696262386,0.006295373756033733,0.33563482407189726
30.788878588319516,0.007217452342406448,0.5613680371567683
38.03378066609011,0.007856049127401083,0.8512615723503867
48.9909018871227,0.008418014760283515,1.308633372425471
65.0485406015207,0.008996206970769385,1.9868952790628598
94.25052161532919,0.009984082171983147,3.219237536318483
150.0,0.011988980287242445,5.559879688215342
