FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,6.705984265568149e-05
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.00026835682692609523
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,2.4071639621605955e-05
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,1.0622596552027407e-05
3.0,3.0,3.0,3.0,2.0,30.0,3.0,3.0,3.0,1000.0,30.0,1000.0,0.0006048835103668767
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,5.942970917962439e-06
4.0,4.0,3.0,4.0,4.0,40.0,4.0,3.0,4.0,2000.0,40.0,2000.0,0.001075687762808378
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,2.6091108059902894e-06
6.0,6.0,6.0,6.0,5.0,60.0,6.0,6.0,6.0,3000.0,60.0,3000.0,0.0024191836705438397
