Time (s),C4_FA (uM),C6_FA (uM)
4.2750167258290075,0.00022232836974473528,0.00024998851421983493
9.240199459440632,0.0015770254270754136,0.01230894103504871
15.618257490583046,0.003915618041600782,0.09083502189023608
22.21153648972305,0.00580055202087503,0.25863256365081294
26.37586085189411,0.006609595679555058,0.39738820309401035
31.02015539129306,0.007243724751579908,0.5703024520628222
37.56057856606027,0.007823637659233471,0.8318543514385346
48.2557079466669,0.008387656042480637,1.277671169612621
69.07099867622998,0.009131608566720387,2.156867857474116
102.14449081355738,0.010257383543808524,3.5516612449070406
150.0,0.011988980233559234,5.559879688917353
