Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM)
5.622735017592214,0.0004910751849228864,0.00017394639292648344,0.00019293575580910495,7.090029913839468e-06,5.760383000603865e-06,6.544384167999454e-08,6.596319141194614e-10
10.331488194077073,0.002144475190017718,0.0016911107707420318,0.005526734600505061,0.0007108797444597875,0.002211312900866514,0.00012900263149553687,6.311184155292608e-06
18.143489725361498,0.0058886405288052866,0.007503578031857827,0.04887528009680862,0.01443813758252955,0.09882918367251266,0.0176538482625504,0.002081799807532709
24.714332801419292,0.008550563705002569,0.012725910510465649,0.10521376663199553,0.044267871605837,0.39391343051094013,0.12000370396550965,0.021824755498112806
30.15575379684779,0.010096762928133666,0.015946469616596886,0.14461574687379722,0.07374030631868586,0.731790291521156,0.31464788651144304,0.0799666915688521
37.79290369612304,0.011568755363119246,0.01889998031598239,0.18075955656716752,0.11002033245592129,1.1733424720569217,0.7454684289751908,0.2840399108300264
45.041310033928674,0.012647810791382157,0.020791675456126927,0.20134838680467929,0.13546437451530519,1.4785302724840523,1.2496924744198146,0.6318257045646023
57.999587909833046,0.014631814589848387,0.023767046700688313,0.22826675330410587,0.16624314864914913,1.8150199424108342,2.1463933855822352,1.4828724548278605
78.1750182391524,0.018576597409624758,0.02947198656216849,0.27746605848870987,0.2058656187155641,2.2244619948179665,3.284236348889565,2.8004300209976294
101.7849523606995,0.02404315112177288,0.03757345681498433,0.3495080409173855,0.2597365831549779,2.7882365454022624,4.4026798314423505,3.972111214134716
150.0,0.03631076380950612,0.0558744848045878,0.5122544881017637,0.3850924510219263,4.026009905665659,6.454419872623255,5.560123698947279
