FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.009251425183781213,0.016558509588047613,0.15832981551758257,0.05833215844496383,0.5272129760512817,0.5798993715568708,0.361788010724908,0.011953780127619102,0.00018864892099507355,0.3935060429600858,0.3082959551166654,0.10734722801557842,0.019311419261736157,0.00215240276254558
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011448544207446317,0.01954174149944922,0.18509457200277532,0.06284614544693995,0.6025727277547299,0.8068405956895747,0.636110857715417,0.028695772814896586,0.0006340585251132724,0.6075106463416828,0.6416162807570097,0.29090074695886153,0.06942538087382516,0.01030489567661696
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025568545721798386,0.039808598699055515,0.36717128827936657,0.15542048675691678,1.594786121874923,2.4012691135966997,1.8218695070546744,0.0841884622974071,0.002066319550673757,1.1700340320248481,1.6788311884632898,0.8758593831403215,0.2563217038757172,0.046361497075837664
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013338153420166811,0.022004576559619536,0.20912760007177567,0.07944692718730152,0.8221790429260223,1.3152467902034406,1.431795300376734,0.09780329902488259,0.0035013556362813217,0.690685396446609,0.9928826764635958,0.6275914958832505,0.22945554075333177,0.05653191233953796
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03190191678778232,0.049238418667534395,0.4540955343981212,0.21249854023123815,2.242813888024932,3.589413224706386,3.0029575913385615,0.1553101777335316,0.004363135439232703,1.3048094135538668,2.04829018440094,1.1666495068947973,0.38483288171718877,0.08085284688173071
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.028528756235375683,0.04394492744331019,0.4057175691202377,0.19920084132216567,2.1587993397582674,3.6207957484568585,3.4826040876190083,0.21269836000548356,0.0071211857244893794,1.0809954389651149,1.7657599723174073,1.1093697457037819,0.41247031694720054,0.10137551292520441
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12065690871101663,0.18115913186650934,1.5911279866099883,0.8218088723507756,6.7908713333304265,6.9066930579108465,2.5474965052762455,0.0544093329951382,0.0006068290737914825,3.1037164760707836,3.0836822004460456,0.8976212297903048,0.13742527618566752,0.011685285285828096
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09578743588878942,0.14358373155555396,1.2895178310788682,0.7455375214091481,7.4257479805587705,11.25795669570151,8.254022135670898,0.3980443717995974,0.011065801824113874,2.4357106977725476,4.078390036800653,2.2615810105429404,0.7562203146556866,0.16515021274738734
