Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
5.928697015455231,0.0005665674794219503,0.00021792771406891747,0.00026966487189639354,4.7174919603646974e-06,4.45835908328244e-06,6.045811141485965e-08,5.406142795887497e-10,2.7739184150918e-13,5.787981283985843e-07,4.332822325129054e-09,2.494222682961354e-11,7.374628250537401e-14
11.271467034542255,0.0025611079045371587,0.0022064099116610517,0.008158815748729764,0.0005017387903608657,0.0018114330552340015,0.00012919576749645032,6.049595365304272e-06,1.5090623736689384e-08,0.0003666040549006183,1.4173860806503234e-05,3.87654031082738e-07,5.670985324097819e-09
18.285905131482927,0.005877687061445968,0.007481205997289707,0.04873369870703392,0.006237839112757938,0.042461224299885865,0.007701262373950876,0.0008170891640552062,4.468970002464814e-06,0.012263826457068276,0.001230946826363611,7.631740377789478e-05,2.5765428293464264e-06
24.884820784182082,0.008430999140401725,0.012496415317921509,0.103069140433249,0.019868105131477583,0.17450067361932872,0.05327340586040365,0.008868173053188082,7.566564200678716e-05,0.06251423068299358,0.010827685723712347,0.0010516840364658071,5.7950418328167414e-05
33.58219810024717,0.010552830115964647,0.016953344622013037,0.15877919427778772,0.04363371933476944,0.4451297315378377,0.22310092175917115,0.060212110470678516,0.0008341574536271268,0.19450009399731505,0.05721893890220352,0.00877238698815385,0.0008187522570416558
42.05172330083104,0.011803834280733057,0.01941967822038457,0.1888228521231184,0.06448018005764013,0.6960941997468235,0.5011648524917734,0.1968340299045453,0.004034661630992411,0.3510267689671144,0.15359175951257512,0.0334313857436001,0.004679375989251703
55.76180709698221,0.01344013522370456,0.022052254811777854,0.21484682887349463,0.08782542872754723,0.9668094637236205,1.0377527709959153,0.6054683801245325,0.01914077301181962,0.568182944552834,0.39859373780228635,0.12829362233234004,0.02771713219355606
76.97790077225513,0.016609812934569847,0.026596685144224922,0.2536316134169496,0.11128879933934108,1.21443677268346,1.7544650864488798,1.3669398481954027,0.06073625029971416,0.7748002015017627,0.8445160971268811,0.3785552467759682,0.11646937154149938
103.12856722221123,0.021635273111143983,0.03396751928946585,0.3184545559685667,0.14180505733641888,1.5331766811467982,2.4402449077298725,2.1063991972798015,0.10953883965682013,0.9628256719969104,1.3354678586049953,0.7125904710505585,0.2666556214107084
150.0,0.03193759569379301,0.0492908544920994,0.45455698449021276,0.21270585807831158,2.244939308278539,3.591860310968113,3.0047373466657827,0.1601636458703758,1.3056909546893867,2.049114489823639,1.1670948608837197,0.47932751177940686
