Time (s),C4_FA (uM),C6_FA (uM)
4.491894478508561,0.00025730067328179004,0.0003323627983783353
8.211927680008518,0.001222712080538669,0.007301569829596372
14.068405703774955,0.0033679338425659728,0.06365075963297816
19.846679464708405,0.005213955736834927,0.18979152289157927
24.014793125847525,0.0061835503815694205,0.316323823659752
30.310633861504765,0.00716156119670749,0.542984150326159
36.60571938767315,0.00775506630753297,0.7928433119322535
49.59650340923497,0.008442559890825386,1.3341518294972339
69.67650114949467,0.009151934983012077,2.182448955309922
95.32543703927594,0.0100210995245344,3.2645218619869607
150.0,0.011988980196634032,5.559879689807023
