Time (s),C16 Equivalents (uM),C16 Equivalents (uM)_sigma
72.0,0.22868471966521084,0.03573410189261038
144.0,0.5394959804507695,0.07371166927360327
216.0,0.9178985222444962,0.1043823081617597
288.0,1.258709709507099,0.13038883449468935
360.0,1.6055259666298671,0.15315363146642397
432.0,1.6541118188478445,0.17350769147613587
504.0,1.7137479050728714,0.19198477781140907
576.0,1.825529034438186,0.20895096467449675
648.0,2.3149176272842227,0.22466971298728394
720.0,2.684643197121371,0.23933778454138427
