Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
4.574601253588738,0.0002738716837627718,6.855741297561658e-05,4.812766149550631e-05,1.0445550748086308e-06,1.1617119150521516e-06
10.664399483423228,0.0022904903776388764,0.0018667690737468766,0.006386493266483868,0.0008669840804874758,0.009373675784127783
17.719678144232066,0.005625813755328267,0.00701074609650148,0.044135130053170504,0.012614455440420131,0.2920999280154046
23.327227299122615,0.00782679282393796,0.01118445135105081,0.08658429249339283,0.03399087020789394,1.1052397898954702
28.54359459416543,0.00927643335863953,0.014061486604574248,0.11917413504848287,0.05691934146397069,2.375295240585025
36.10554135203875,0.01078432288694358,0.016847517275376776,0.15027676594832332,0.08613506945422966,4.624280170295011
45.129164303981014,0.012481994213446252,0.019465764733636832,0.17512695131069944,0.11251726212173657,7.0284854501080085
60.67138993078571,0.016255611442555083,0.024957818296128278,0.22268713909116086,0.15168025330085474,9.913425897659968
78.35025565549115,0.021157608859290043,0.03237804077701496,0.2904753947878196,0.2030678045240581,12.667664316891525
112.08231482090231,0.030804857503086744,0.04692853880072796,0.42281786156216783,0.3079754257783117,17.236215061308965
150.0,0.04226414340094045,0.06411399049440854,0.5763003519445346,0.4282513369942212,21.218070304024877
