Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
5.632401255376792,0.0004933797114898824,0.0001752378533093986,0.00019506897540594496,7.198264418061541e-06,5.8749816940343814e-06,6.710397816309751e-08,5.004041729189079e-10,1.668957170288486e-13,3.295540239606917e-17
10.492496488375044,0.00221550633126885,0.0017760771809545866,0.005938338977898722,0.0007844148677081538,0.0025075298600467774,0.0001515216896006366,6.0300934898326635e-06,1.0836730327698384e-08,1.0712985147143823e-11
18.639286279542077,0.006117981595350119,0.007927063973696321,0.05295328378974329,0.016175221699119516,0.1138130758975059,0.02131705022491181,0.002251221479589645,1.0947808224965656e-05,2.7749103008928888e-08
24.254831915985235,0.008394104183741136,0.01240400537745947,0.10142000324958875,0.04184410652969819,0.36769274846012867,0.1084539471668774,0.016951755098650823,0.00012277798431106966,4.5329299166943883e-07
29.70747397677297,0.009991012445419487,0.015726471895342313,0.14189019978742853,0.071396115768473,0.7039758838000345,0.2948630586086176,0.06529911605995083,0.0006750550652190526,3.4783540062208e-06
37.479776648822735,0.011523555133814199,0.01881535380609631,0.17982158238036944,0.10886859117242777,1.1596385384639605,0.7262960826505609,0.24694658160777158,0.004028295898979305,3.189883117813407e-05
44.8740586436266,0.012633678937884741,0.020771728202729302,0.20125152238522676,0.13523010412125658,1.4767164512281787,1.2406850609192344,0.5690710618980472,0.012914966969812014,0.00014069674667929722
58.001507085465576,0.014647607265473098,0.023797743472309535,0.22870693230900294,0.1666962769560711,1.8213106328601063,2.1526902553333302,1.3689173303723865,0.04505924753266683,0.000712390463246634
78.56861478708046,0.018672779060678747,0.029621580065119984,0.27895667859594,0.207201831855886,2.239387973994919,3.311004179140418,2.6285808308994394,0.11462758383087643,0.0024583876151286843
102.67214053418759,0.02425974097702009,0.03789999671313716,0.35253581939043255,0.26226220937100475,2.814313544881041,4.445310754540455,3.754114638428285,0.1841932203499572,0.004620838998635618
150.0,0.036310632411380654,0.0558735915471281,0.512291513334544,0.38525633516066865,4.0268931030827035,6.447076023037915,5.239714091574155,0.2611550464042745,0.007032772749311257
