Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
6.008450735099515,0.0005871617333300869,0.00023051403155958478,0.00029309758868760434,1.2611574672885757e-05,1.2175941967581367e-05,3.344451599986007e-07
12.335677750167223,0.00306823477385148,0.002889414199991695,0.01210857490476474,0.002084144451613668,0.008692207446131542,0.0014989554267704475
19.090608512001584,0.006318494280471605,0.008300882742057121,0.05661727434489147,0.017802645166175343,0.1282118883273814,0.04730883877117503
25.298749903116935,0.008720372941100084,0.013070137931104071,0.10916798943581288,0.04700156194780844,0.42396367005948604,0.25680833363513333
31.281572009678314,0.010304234063315572,0.016353756578306854,0.1492237721918851,0.07835986979244187,0.7870387794377824,0.7279466350809902
39.64306164769306,0.011796298307686285,0.01923584511108516,0.18331566892449613,0.1144396367761134,1.2257268076620533,1.830833305171844
51.39015847717963,0.013629270623009518,0.022115861591251205,0.2111273995205668,0.14784211009275397,1.6121591376402413,3.715822388242519
69.80936337801967,0.01731482204646619,0.027426196722107114,0.2565825872792968,0.18668224328764585,2.0195109681878725,6.208167203323604
98.77652111982113,0.02431717006123413,0.03787039059875401,0.35020523342987736,0.25736826450997713,2.7695504028610367,9.126437261581392
149.97443735931952,0.03775842922367556,0.057962836527313016,0.5294261018905279,0.3967333520116534,4.153127477070657,13.074972822090997
