Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
4.607870575479313,0.0002795778855221402,7.08617454347736e-05,0.0002005965651958768
10.935009029633333,0.0023431260113306,0.0019253447213361937,0.055043798909883195
15.597031904273646,0.004293484713265794,0.004711641871674497,0.28244339066051677
22.128502223832836,0.006476705864586129,0.008511707648944931,0.9724770975002252
26.6271362512229,0.007514106725147835,0.010464665144199548,1.6267491371787017
33.656793964521675,0.008650190795775356,0.01257245393871811,2.7689709151127406
42.14339736304872,0.009695768968835517,0.014324984682430358,4.169485281008751
53.49649405167023,0.011046902265304736,0.016374281019529955,5.967804991271526
70.01634212577858,0.013213152234287808,0.01958494826552125,8.455861051601119
104.29633067246526,0.018356721056475775,0.02723576710258206,13.297686903875531
149.16807543351146,0.02620530222976443,0.03890903694929779,19.029827245812672
