C3_MalCoA (uM),C2_AcCoA (uM),ACP (uM),NADPH (uM),NADH (uM),FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),FabF (uM),FabA (uM),FabB (uM),TesA (uM),Initial Rate (uM C16 Equivalents/min)
500.0,500.0,10.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.7402978071728274
500.0,500.0,10.0,1000.0,1000.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.8660520387289891
500.0,500.0,10.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,1.2023179580257233
500.0,500.0,10.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1388342187937063
500.0,500.0,10.0,1000.0,1000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,0.997994726308329
