FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.038499013138989756,0.05854753593585105,0.5286857775059319,0.24655542976324796,12.23913137760384,7.224745888615432
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290506504838756e-05,6.131121815881763e-06,1.7287946185702468e-06,7.761883505630466e-09,1.4184290741240812e-09,8.865925137777659e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428814362662031e-05,2.5474260870322574e-05,1.021192456647927e-05,7.485881457776918e-08,1.9888507409188566e-08,1.3116486757754119e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027698529657386534,0.00017814911512731906,0.00024064005598338107,5.563798488181638e-06,5.831262605360167e-06,3.6765097902766e-06
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008049298314623156,0.0007805529090160898,0.001769757183505777,7.321610101885422e-05,0.00011749165759166045,7.708054747245844e-05
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008987109586120699,0.001000782187344209,0.0030860157172776658,0.0001659664279396163,0.00041202459662906016,0.00025671851984144904
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002884398255147532,0.004495848110370279,0.02345737133224062,0.0024052168903834275,0.008768779715656145,0.005786383073008289
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022539558802205646,0.003325571952421574,0.015257538235916803,0.0014171465224299081,0.00448717302483015,0.002759954220644378
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,0.005644510204104998,0.010438305784157293,0.08724992532257028,0.020683771206321096,0.4112146612208918,0.3096181656760185
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008338317864062902,0.014436721424165157,0.12609894768736785,0.032001758869070536,1.0053943150294053,1.1647548296511867
