Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM)
3.3797563435501075,0.00010740286000157981,1.489906679256823e-05,1.4999355719637321e-05
7.136304346499181,0.0009091937690432572,0.00045560935462013013,0.004605299767062438
12.161585464632534,0.002862652517600968,0.0025949574541011353,0.0935581424594797
16.581677481977206,0.00467624432280705,0.0053347167666020455,0.3600276302608322
24.585737833944293,0.007083442954333118,0.00964904877606917,1.3176598037129834
32.5954827573611,0.008502955950412972,0.012308243936673693,2.592845618771637
44.443840940737594,0.009964386403995986,0.014744153414001053,4.541499710550854
62.259275604818356,0.012165521893199539,0.018031337425206226,7.3023034013659895
92.6579750198,0.016523062758765243,0.024507557578324637,11.699653789668824
150.0,0.02636179303382845,0.03914173379155895,19.12989778397544
