Time (s),C3_MalACP (uM)
0.0,0.0
7.353096350628199,0.06444835688382536
14.017860266399596,0.084186035210586
22.672114955398527,0.09250789828301823
27.681534565410825,0.09416430368135904
33.210340328623104,0.09500115835709763
39.39705586289815,0.09539480321730773
46.46734328492903,0.09556404593075674
54.763536659417014,0.09562831128660687
64.816573792062,0.09564873848951519
77.50691198365845,0.09565373915180968
94.43968125406188,0.09565456321825759
118.9294913601402,0.09565463703077602
150.0,0.09565464020752149
