Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
10.497214149518312,5.0178182502529715e-09,4.036614924725294e-09,1.3836108059105455e-08,1.3767337095470744e-08
16.693439372684903,1.1584171235231961e-08,1.3911283736966284e-08,8.508603500938004e-08,2.6789123117148353e-07
22.76258376242395,1.7133232806530167e-08,2.4428057615959934e-08,1.9437997089439175e-07,1.2966966453547088e-06
28.866207999482523,2.094876027389402e-08,3.2461188300938116e-08,2.9354450639819194e-07,3.5246546647534656e-06
38.33048055642144,2.412185444424475e-08,3.952306781042348e-08,3.8627007403539574e-07,9.322929719698265e-06
47.43573544846491,2.544013590976756e-08,4.25351359848021e-08,4.246788375093301e-07,1.6828409205191686e-05
61.6827549152327,2.6173469858080943e-08,4.421764339111236e-08,4.443916296433244e-07,3.0485878319272683e-05
77.70565744448987,2.638988086551775e-08,4.470806031204473e-08,4.4962588016442473e-07,4.692427135833502e-05
109.81119884462339,2.646139748254602e-08,4.48658817590204e-08,4.5126542600875617e-07,8.063695391633422e-05
150.0,2.6467642507466294e-08,4.4879216809186844e-08,4.514102604317437e-07,0.000123035504783659
