FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,2.052795778389783e-09,2.2939481579742165e-09,7.2996428290701926e-09,3.4907439449303952e-09
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,3.796436031886168e-09,5.04940249849323e-09,2.1091105933328277e-08,1.379289612061641e-08
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,5.30120843000022e-09,7.891459252642391e-09,3.822563001745515e-08,2.8458364250392795e-08
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,50.0,1.0,50.0,6.370708468499195e-09,1.0145061761843812e-08,5.780585497322695e-08,5.737039560746331e-08
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,7.393772352997559e-09,1.2497685501178513e-08,9.463037650367574e-08,1.5818855503003152e-07
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,100.0,2.0,100.0,1.621781223371073e-08,3.385828459560888e-08,3.5161359900086095e-07,1.5260624421968894e-06
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,1.9491681464517687e-08,4.1407272211804243e-08,4.806797658290772e-07,6.288972783078029e-06
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,2.0227782765024214e-08,3.8650647432873544e-08,4.2402010530860594e-07,1.4280644195091382e-05
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,1.9026264674600398e-08,3.673067485043164e-08,4.033866432417655e-07,2.5671160599394994e-05
