Time (s),C4_FA (uM),C6_FA (uM)
4.382278199075907,0.0002392835739263632,0.00028848349844078444
10.05225034126885,0.0018709732070302505,0.017581331243139257
15.023921839605933,0.0037093636233453773,0.07979587662330635
21.176046497125487,0.005555898364108346,0.22745603277674528
28.46717442494082,0.006924795494921754,0.47339826323181017
34.074672393318544,0.007549570138380832,0.6906105854508997
41.171869584951814,0.008048718535714509,0.9809694210948944
51.39677757559063,0.008513381520990534,1.410071636897196
65.95910463303808,0.009026938340661733,2.0253765180861656
98.85676067080837,0.01014314663831744,3.4132495771013676
149.10311441501662,0.01195532678169696,5.522357967858981
