FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046101840825007215,0.0003558941143668425,0.0006588482926023444,2.0105430788556392e-05,1.4556910953931612e-05,1.7601803530971808e-07,6.763170568261744e-10,1.6907774121469007e-13,8.616174774994482e-06,5.4966212114804317e-08,1.5989843697260513e-10,2.42542863260313e-13
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.00027699142983266266,0.00017815519230244043,0.00024064805496478833,5.564116527028729e-06,2.7121783980692744e-06,2.1812499732595567e-08,5.869080486161581e-11,1.335881857062981e-10,1.7227066746138517e-06,8.082039383950264e-09,1.7333384544765194e-11,2.0019783085832302e-14
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001646527171142211,0.0021763380495693567,0.00869687006328711,0.0006301751243612434,0.001026339845815731,3.5663367529740725e-05,3.696483494703806e-07,2.292222090665506e-10,0.0007980629373582166,1.5994503931014477e-05,1.2838138059807815e-07,4.546088798469891e-10
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002904589859669262,0.004532852764664059,0.023685249392285956,0.0024244349862621397,0.005037582301828806,0.00024211307047555363,3.4252222871392957e-06,2.782573099695794e-09,0.00336369928204677,9.285033619134133e-05,1.0034133048050233e-06,4.78044377125283e-09
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863808099728162,0.011118075836987255,0.09890811451260634,0.02495538885648195,0.14369740772062733,0.036665600842914245,0.0033524155061598025,1.595416493459763e-05,0.11211704825291854,0.017716177169502457,0.0011390085941677182,3.824699355326553e-05
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008195812928569187,0.015155621649382448,0.142194017003736,0.03925785074789163,0.3053948673065493,0.17664979334355793,0.04009922764550863,0.00045690663168547837,0.334286385554683,0.12234879004676455,0.01802411413555432,0.0014795842762613271
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.0077255236410790065,0.014401319649462382,0.13451990564525962,0.04238830033278822,0.33325191882179644,0.21980008381376132,0.0776342419761655,0.0015292484778001918,0.2608333799750031,0.10970849620265342,0.022299981274540435,0.0030071798199777003
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944537197108464,0.018594682607624386,0.17399452126880788,0.05924995239831712,0.5308613542850462,0.5263621831666877,0.23493505721210492,0.005735563962229832,0.5219706042268124,0.3610759462233159,0.10009502324455244,0.016435430044967506
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.12066772236157874,0.1811748506240089,1.591258341051191,0.8218637629688481,6.791269314138991,6.906944327275577,2.547581985817085,0.055066020796361796,3.1038481782020053,3.0837516341841638,0.8976428265150576,0.15088038611045426
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.009252267480276261,0.016559107353927384,0.15832965831843873,0.058328943735134475,0.527162798937515,0.5798031385400887,0.3618476014599782,0.012522258051954978,0.39344250286700355,0.3082379570233536,0.10734901207107093,0.025916232289756765
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011453921150854602,0.019547683572877634,0.18512860408446014,0.06284857327799782,0.60256685557209,0.8067071055125671,0.6362535454521052,0.029930469483210993,0.607430591966798,0.6414756323163106,0.29091734249019047,0.09198282003103334
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025591030494021064,0.03984081689231669,0.3674446495893198,0.1555200594158886,1.5957705981554686,2.4021748123516704,1.8226015301846892,0.08660283544782889,1.170517139058577,1.6791629570152373,0.8760854221544163,0.3142822590360851
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428829835721283e-05,2.547429267182321e-05,1.021187759611262e-05,7.488161111680096e-08,8.674027817058219e-09,1.5537076022539768e-11,1.245136021151416e-10,3.5545460718504027e-11,5.725060029393876e-09,7.136558520941125e-12,2.7460481653481914e-12,6.195368216965994e-13
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03193759481903636,0.049290853591996225,0.4545569782677262,0.21270584605404372,2.2449390933735343,3.591860007755951,3.0047378331761956,0.16016373011636229,1.3056907785217753,2.049114484644658,1.1670949928445509,0.4793275321661795
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013361655936927903,0.022036312316113294,0.20937986555499996,0.0795154043775614,0.8228829375847843,1.3156255312269807,1.432736193058081,0.10262617665257592,0.6910173088783721,0.9928682000420491,0.6277730561165242,0.3160190827570575
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09583758927577622,0.14365972024297866,1.2902080484629739,0.7459760232460747,7.430135541408333,11.264790722641157,8.259213180351239,0.4094878670326241,2.436933420412656,4.080433056770449,2.2627527624968486,0.9237157998562457
