time,[P]/[S_tot]
0.0,0.0
0.21376146788990827,0.007588591421581114
0.42752293577981654,0.015144385649536728
0.6412844036697248,0.02266784832768806
0.8550458715596331,0.03015944509985632
1.0688073394495414,0.03761964160986272
1.2825688073394497,0.045048903501528466
1.496330275229358,0.05244769641867478
1.7100917431192661,0.05981648600512287
1.9238532110091744,0.06715573790469394
2.137614678899083,0.07446591776120921
2.351376146788991,0.08174749121848988
2.5651376146788993,0.0890009239203572
2.7788990825688074,0.09622668151063231
2.992660550458716,0.10342522963313652
3.206422018348624,0.11059703393169099
3.4201834862385323,0.11774256005011692
3.6339449541284408,0.12486227363223554
3.847706422018349,0.13195664032186805
4.061467889908257,0.13902612576283563
4.275229357798166,0.1460711955989596
4.488990825688074,0.15309231547406105
4.702752293577982,0.16008995102521914
4.91651376146789,0.16706128568540882
5.130275229357799,0.17399087142663655
5.344036697247707,0.1808602220188635
5.557798165137615,0.18765085123205105
5.771559633027524,0.19434427283616054
5.985321100917432,0.20092200060115312
6.19908256880734,0.20736554829699017
6.412844036697248,0.21365642969363297
6.626605504587157,0.21977615856104285
6.840366972477065,0.22570624866918107
7.054128440366973,0.23142838248681616
7.2678899082568815,0.23694401821577313
7.4816513761467895,0.2422926836343522
7.695412844036698,0.2475182336885054
7.909174311926606,0.25266452332418465
8.122935779816514,0.257775407487342
8.336697247706422,0.2628947411239296
8.550458715596331,0.2680663791798993
8.76422018348624,0.2733341766012031
8.977981651376147,0.27874198833379316
9.191743119266055,0.2843336693236215
9.405504587155963,0.2901530742605405
9.619266055045872,0.29622787251709126
9.83302752293578,0.302525801830792
10.04678899082569,0.3090007313407285
10.260550458715597,0.3156065301859865
10.474311926605505,0.32229706750565174
10.688073394495413,0.3290262124388103
10.901834862385321,0.33574783412454756
11.11559633027523,0.3424158017019496
11.329357798165137,0.34898398431010214
11.543119266055047,0.3554062510880911
11.756880733944955,0.3616367154949896
11.970642201834863,0.36765483153386674
12.184403669724771,0.37348714660097865
12.39816513761468,0.37916533401773583
12.611926605504587,0.3847210671055491
12.825688073394495,0.39018601918582924
13.039449541284405,0.39559186357998694
13.253211009174313,0.4009702736094328
13.466972477064221,0.40635292259557765
13.68073394495413,0.4117714838598323
13.894495412844037,0.4172576307236074
14.108256880733945,0.422841439648793
14.322018348623853,0.42851734621448073
14.535779816513763,0.43424473868520175
14.749541284403671,0.43998152719011185
14.963302752293579,0.44568562185836647
15.177064220183487,0.4513149328191214
15.390825688073395,0.4568273702015321
15.604587155963303,0.46218084413475413
15.818348623853211,0.46733326474794307
16.03211009174312,0.4722425421702546
16.245871559633027,0.476866586530844
16.459633027522937,0.481163726807473
16.673394495412843,0.48513097794391635
16.887155963302753,0.4888347722979609
17.100917431192663,0.4923487740014556
17.31467889908257,0.4957466471862492
17.52844036697248,0.4991020559841904
17.742201834862385,0.5024886645271278
17.955963302752295,0.5059801369469105
18.1697247706422,0.5096501373753868
18.38348623853211,0.513572329944406
18.59724770642202,0.5178203787858165
18.811009174311927,0.5224645354804066
19.024770642201837,0.527503247727217
19.238532110091743,0.5328666877536055
19.452293577981653,0.538482321479591
19.66605504587156,0.5442776148251925
19.87981651376147,0.5501800337104289
20.09357798165138,0.5561170440553193
20.307339449541285,0.5620161117798822
20.521100917431195,0.5678047028041371
20.7348623853211,0.5734102830481023
20.94862385321101,0.578760318431797
21.162385321100917,0.5837822748752404
21.376146788990827,0.5884036182984509
21.589908256880737,0.5925518146214478
21.803669724770643,0.59615432976425
22.017431192660553,0.5991386296468761
22.23119266055046,0.6014321801893455
22.44495412844037,0.6029624473116767
22.658715596330275,0.6036568969338889
22.872477064220185,0.603442994976001
23.086238532110094,0.6022482073580315
23.3,0.6
