Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
4.430891760857999,0.000249246659532932,5.890260790702796e-05,3.834830642119869e-05,3.270698586611292e-07,1.3785030787531412e-07,7.306676178305088e-10,2.4226465490771197e-12,9.094403072649334e-13,8.172479638232013e-15,1.5311277360029567e-08,4.6005508478877704e-11,1.0596408647121154e-13,7.991998952624394e-17,4.31762333207567e-20
7.538124534224087,0.0010460281049838299,0.0005662938569658742,0.0011073009711773996,3.251515748705783e-05,5.440877444939451e-05,1.4647962089804798e-06,2.648047963615273e-08,2.2303822518548465e-11,6.008632402818666e-14,8.24825687433847e-06,1.2087233702450186e-07,1.3358936374555878e-09,5.194070040082855e-12,1.422090934794928e-14
13.67299586232745,0.003696551906936543,0.0038043642467344946,0.018109680573113032,0.0015168276889784614,0.007314522064083548,0.0007767292463656855,5.212063229247876e-05,1.597156633887698e-07,2.6337244983703627e-10,0.0017080980225422937,9.886027528828907e-05,3.858099046665905e-06,5.823285191239114e-08,5.791698848145549e-10
17.50810030965207,0.005524164167335879,0.006840417196444827,0.042745263901281534,0.005148452141341323,0.03350800734134366,0.005630916427427937,0.0005602307330193559,2.5752091221536198e-06,6.244892257646045e-09,0.009379421117149499,0.0008698536560721597,5.052538831639601e-05,1.1825199581710567e-06,1.771312247170806e-08
24.432187933297463,0.00828398494900161,0.01219271059129784,0.09945781716026986,0.01873003425493328,0.16251091160337774,0.048123981494893886,0.007792796201202483,5.9194898412662484e-05,2.3127119864906026e-07,0.05749698229410579,0.009642840274615741,0.0009117737275357451,3.6827389106689155e-05,9.321337132750135e-07
31.178178643781937,0.01008194740465725,0.01596686231241066,0.14622347208413677,0.03700596733165064,0.3668263901823838,0.16266072622144997,0.03874372525727401,0.00043819278961898647,2.4890252146914372e-06,0.15270089091144232,0.03937166742969543,0.005374048301200456,0.0003283179787014142,1.2585224550935789e-05
42.79888385008346,0.011896370894716473,0.019586863815300573,0.1906996927100722,0.06607580305907863,0.715238857833377,0.5291996339662625,0.2137102603583166,0.004258309393189706,4.136519854812238e-05,0.3646008088760864,0.16449367223092706,0.036766054531152205,0.003920302639600026,0.0002639882911373619
54.160168634490134,0.013242017099987775,0.021760270356887147,0.212270983397866,0.08564819780395576,0.9427213474863178,0.9756423176335438,0.5494751181039857,0.01591258754707715,0.00022340786807304315,0.5468237543239659,0.3662699171765019,0.11365436968320373,0.017525231232755373,0.0017002930636656644
76.89565978403033,0.016591609143906557,0.026572044769574414,0.25343376099378695,0.11120842388566979,1.2136367076690293,1.7522821059705282,1.3639855920177877,0.05822982141470147,0.0012274439614770889,0.7742800841425191,0.8429553257581905,0.37745802205375273,0.08837891136801752,0.012872251628804452
103.4789327179871,0.02169107777778279,0.03405295183739096,0.3192388476010405,0.14222573681972095,1.5375689301767677,2.4487577761528194,2.1141704153821608,0.1063533885757287,0.0027442509292566375,0.9652729576659546,1.3415375146318926,0.7166501716035663,0.20994860529673767,0.03834115667459238
150.0,0.0319019179072176,0.04923842065454103,0.4540955268656566,0.21249851536009823,2.2428138001880837,3.58941120159096,3.002956817768653,0.155310289414374,0.004363140506459053,1.3048094882430128,2.048290095032958,1.1666501862844458,0.3848332958480768,0.08085285613047559
