FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.21884549480579904,0.324881468130127,2.723520624199042,2.017749764949603,42.630642174975556
1.0,0.1,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.047279610869105274,0.07025511023342759,0.6167856707323903,0.4769177038572134,19.451649289625184
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,1.0,500.0,0.020543334254483802,0.0308760569780991,0.27543297440619086,0.21246834224783703,14.732823649969587
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,100.0,500.0,2.2595210252525484,3.0939309135716244,15.895575842359667,10.20113592668526,54.13949118586124
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,50.0,500.0,1.2193710424804287,1.730907457237634,10.803875347394372,6.94675863315647,53.372299252974045
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,10.0,500.0,0.4887158256867781,0.65126096122486,3.2441082976255093,2.0791375255159203,12.228699607606492
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,20.0,500.0,0.46077165794906955,0.6764339571921082,5.217659381678726,3.677237690914905,48.85200040400712
1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,500.0,10.0,500.0,0.027626278970490973,0.04106487957208789,0.3240564067427019,0.24759326166017326,25.699041614832154
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,50.0,10.0,500.0,0.5505706495128183,0.6412432032997633,2.3265499353151773,1.8052207789455985,5.571165322971029
1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,500.0,10.0,500.0,0.7967031619993445,1.1534976014767837,8.034465069474214,5.231575848629539,29.47563022379883
