Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
6.424546193254294,0.0007000807162324191,0.0003036547267669974,0.0004409591076960067,2.21256107672181e-05,2.5257923404943996e-05,4.289087821592958e-07,4.837936788289933e-09,2.460457650751477e-12,7.428435867559481e-16
11.641978594895587,0.0027399653831288603,0.002441516436414556,0.009463378579909747,0.0014859245457097244,0.005657967257647669,0.0004298723506569767,2.112029311530471e-05,4.6986342089331395e-08,5.6881868898412554e-11
18.42150033705893,0.006017727673759593,0.007741214216035455,0.051151368156686035,0.015399507162804206,0.1070734596576921,0.01964533802069371,0.002039852796230503,9.749513865156465e-06,2.431032002043508e-08
24.75043083770529,0.00856343838869308,0.012752570888752882,0.10553455393102795,0.044472084855030944,0.39614437862157625,0.12097954044423004,0.019534799863967733,0.00014622124753093784,5.568121229697405e-07
32.85189637583133,0.010688663563935847,0.01716703865191713,0.15983240538086102,0.08767420240997766,0.8999720775587037,0.44913137501146605,0.11984663627604941,0.001506515261844605,9.323375492945472e-06
40.35425746585425,0.011972796629961445,0.019643447877652858,0.18929935323513397,0.120160920180284,1.297325691613629,0.9197119315558596,0.3556916454541155,0.006681267716221913,6.056738423320883e-05
53.12978509552619,0.013857063881260437,0.022649658955754146,0.21877191113424285,0.15644155882464883,1.7137507087455686,1.8275829902622946,1.054287758485845,0.030997126585776462,0.00043676371758852
73.876791874797,0.01767041530825237,0.02815759341230065,0.2661568463582816,0.1976196527015168,2.139406720970735,3.0711487099020487,2.36411670212382,0.09867768836182016,0.0020118787959542057
98.92524671573806,0.023357416846556747,0.0365554376257534,0.3405249871108489,0.2531620430498671,2.720215336446627,4.275327987857522,3.6012887421638,0.1749640197533724,0.004320387138586522
150.0,0.03631063233800988,0.055873591368014196,0.5122915140072076,0.3852563505006418,4.026893402496363,6.447076177255704,5.239713704262373,0.2611550505470332,0.007032774924645746
