Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM),C20_FA_unsat (uM)
5.857002403527457,0.0005483970914191301,0.00020703057933628584,0.0002498926522034829,4.2510495298732664e-06,3.894050098153907e-06,5.087676225324446e-08,4.3642908303506417e-10,1.6761354198258656e-13,3.8016089451422806e-17,5.018430409609548e-07,3.6218572165194744e-09,2.0050025863604e-11,3.775637465434236e-14,5.118877741478551e-17
10.6320059682559,0.002272946361353277,0.0018450738241274141,0.006278701701308445,0.00034983846157892953,0.001145735178875476,7.18546814976261e-05,2.9831203979345446e-06,5.604243556521191e-09,5.7960760946622886e-12,0.0002220952898638051,7.544593811344842e-06,1.8355608843550708e-07,1.658478297241106e-09,1.0200149749962157e-11
18.31353962993019,0.005890082952775677,0.007503950903006469,0.048950784937844036,0.0062787890517525145,0.04280488681477177,0.007784058658853684,0.0008277080577095306,4.075369833537315e-06,1.0550307307416697e-08,0.012376502627699983,0.0012456556173674174,7.740324075856725e-05,1.952829733142194e-06,3.139407852082509e-08
24.224294423317886,0.00821506146641208,0.01205081358414547,0.09778248798720178,0.018214786316772716,0.15712599115230705,0.04587343877270852,0.007334001420420748,5.498285590468075e-05,2.121615415135481e-07,0.055268894826847804,0.009131154155703569,0.0008526896732903885,3.396082654153402e-05,8.477360917644123e-07
29.955367148607902,0.009812875636587672,0.015398744406317302,0.13899675999955213,0.03359264579134014,0.32715096381047415,0.1357823067994585,0.030270510203476486,0.000319602486756284,1.7020421605638152e-06,0.13265247228170082,0.031860640482993585,0.004087874997360459,0.00023289697505263335,8.317708352597261e-06
38.77749129662774,0.011373963632717348,0.018610870853123893,0.17937449382932763,0.057003718103239245,0.6059643872769477,0.38380254202829184,0.13206090798659004,0.0022080556720355297,1.8129094700385285e-05,0.2904558552712003,0.11024953049239657,0.02118638625290205,0.0019049060920577825,0.00010805567797290395
47.09069824320671,0.012406499160551093,0.020462242328881115,0.20000337264802667,0.07444160930113138,0.814466044240136,0.6957094077038377,0.32471796249648976,0.007601682383627837,8.638958276329343e-05,0.43929752967162117,0.2335483740749973,0.06002851748294215,0.007491329160422009,0.0005901025685282088
60.554854662136805,0.014063558896992134,0.02295460067906342,0.22262237029239532,0.09379581763285304,1.0315619016823068,1.2181739749799623,0.7787244705863737,0.02611333026588961,0.0004256402625145207,0.6262260957657597,0.4984245358658835,0.17685845157760607,0.0317095605003576,0.0035634007653235038
80.87263729923029,0.017292723699387322,0.027586595489969553,0.262217477659421,0.11540089151296236,1.2573014557592195,1.8655798809180162,1.4939242027713264,0.0662702994219581,0.001458940331962005,0.8039348016115134,0.9233408791124058,0.4298796691672385,0.10544744013653583,0.016076690760920085
105.12226073980939,0.022030270658756828,0.03455600363872024,0.3237127489584238,0.144399154752914,1.560139898615334,2.489289896068732,2.1525353324388226,0.10879376402633881,0.002827422899780004,0.9771592758435738,1.369605902487305,0.7359551842046386,0.21745086197259306,0.04007542009219308
150.0,0.03190191447716938,0.04923841340331983,0.45409544694183834,0.21249846977275563,2.2428131848806925,3.589412581502721,3.002957969816512,0.15531023150480214,0.00436313497037142,1.3048093210754395,2.0482906941488093,1.1666499332637401,0.3848329512357937,0.0808528049486347
