Time (s),C3_MalCoA (uM),C3_MalACP (uM)
1.0425058418426802,491.42058829935866,4.052583392635678
11.828517704332294,471.8747718782676,0.564918193767744
22.080257625870836,456.52813926417224,0.313568250279679
32.164466138148995,445.7859694979165,0.3738895576371016
43.26235002855065,436.5647716048889,0.568304724661161
54.62758835243656,428.1822303168925,0.7613816458312096
66.27466294391307,419.70501910346707,0.8972424279245516
82.28525202700668,407.89214667185735,0.9976451993145342
104.52440753886549,391.6747448973141,1.061757415937371
136.36794099631024,369.81054284512993,1.1112632834807286
165.60127942214393,351.319471406155,1.1332218620232697
202.23362931134739,330.10789513797323,1.1340229465767726
246.8566723311331,306.8865648413064,1.1088427656852065
299.02001631121703,282.87569784420083,1.0604999869492189
390.7955322270709,247.2223578314006,0.958854760900289
501.02199111836893,212.76530293058153,0.83879211629765
633.1658486796744,180.00080373872296,0.7135888238585987
