FabD (uM),C3_MalCoA (uM),ACP (uM),C3_MalCoA (uM),C3_MalACP (uM)
0.1,500,1,488.3801331097678,0.02334810371788341
0.1,500,10,375.4238872736357,1.0351708819526115
1.0,500,1,482.4683970472318,0.0325678322255376
1.0,500,10,361.0054576620273,1.1241837467999969
10.0,500,1,473.3956089255871,0.041247738038272405
10.0,500,10,353.9909571530177,1.1044707822438906
