Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM)
5.66633732936326,0.000501449889258402,0.0001797783732909858,0.00020262677933506254,2.616218421419485e-05
10.740177725040352,0.002310815788420599,0.0018893158488101245,0.006497933058473427,0.004284669424727314
17.19503470333699,0.005211333578379159,0.006256112823908507,0.03738817942344719,0.0602566716529859
25.678558055010907,0.00794474385209491,0.011399226299740408,0.08893812783543131,0.29501211438944336
30.830583575546946,0.008879708823522497,0.013302469995563518,0.11018373409091758,0.5114129774637309
37.12963123848094,0.009560016774216248,0.014702797247264842,0.12565667730610786,0.8163104297958271
43.577003442809705,0.009968133903679647,0.015519759163651253,0.1341564690312261,1.149411528905417
54.45233994837798,0.010385848333282731,0.0162791092218591,0.14127749454475164,1.7246072970343345
72.38438062793556,0.010902186173033797,0.017086085453892945,0.14830891084239578,2.67193075849713
96.38914082627214,0.011601919070544286,0.018125490116057127,0.15759395154293782,3.9282835164167396
150.0,0.013351521346620198,0.020717781617727176,0.18096434577451112,6.6946906400658115
