Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM)
5.779530351531353,0.0005290879724003193,0.00019566350552640952,0.00022979139115453538,3.7905118379320433e-06,3.3546937718001257e-06,4.208104687330375e-08,4.693811036718041e-10,4.289163493086973e-07,2.9748400965017995e-09,2.6834364448244862e-11
13.099886192083957,0.003420742697503111,0.0033929169930750863,0.015316813415198848,0.0012005327775915927,0.005452749713535937,0.0005319245602582822,4.0724198840911264e-05,0.0012335876205281271,6.548678132685851e-05,3.9022205187069275e-06
20.205228375591968,0.006707950504530514,0.009043182941311737,0.06432150494265083,0.009439187145309653,0.07061961512119987,0.015208681504395357,0.002172205535995764,0.021899826999669213,0.0026284950668631294,0.00029427132056772615
29.73282332462684,0.009760364048950703,0.015287543463999926,0.13757510137565668,0.03295632454181976,0.3197996022594765,0.13111560973481992,0.03261690527220434,0.12901450961433736,0.030586457736326313,0.006083561323351592
35.82367317454996,0.010931790644546751,0.017731643521920467,0.1685542301829913,0.049553186203349135,0.5159817084580489,0.2875438996623637,0.09653377080538841,0.23500721099716562,0.07757068700368913,0.021065942136110266
43.98910497021244,0.012035723289192925,0.01983093290396899,0.19330838938830225,0.06840676551372951,0.7428519305184276,0.5734334943359387,0.2662097957088844,0.3847789283754859,0.1821818938185559,0.06911350761619148
52.257929944499786,0.0130072969948059,0.021400989000452574,0.20889042742732453,0.08269709124087014,0.9091199229894649,0.89853984505616,0.5290271122244188,0.5179671159323174,0.3278401630762722,0.15878318761590438
66.32845026504843,0.014895711191754228,0.024127531891445526,0.23234893670183343,0.09992078707492376,1.0955145740073484,1.4172686129904268,1.072625017289224,0.6825567959415869,0.6195188491963521,0.3908686152135946
83.39354978436276,0.017809556971785104,0.028317985278867686,0.2683315269674954,0.11791049202293252,1.2830042668555546,1.9313095969160288,1.6916683918703113,0.8194028572193129,0.9712452650523359,0.7273333705032086
113.49435302950965,0.023945373749664996,0.03738732220755304,0.3487359913003092,0.1563445721086949,1.6835761164744225,2.699807423251878,2.5003936214906277,1.0388935689589938,1.5095660280031624,1.259858612730913
150.0,0.032130727271005945,0.04957718135121555,0.4570559088014508,0.21380099993890858,2.25651827720409,3.609862553448293,3.2025254639910825,1.3097911337405956,2.0561869262422796,1.7215713558447754
