Time (s),C16 Equivalents (uM)
72.0,9.032421361881335
144.0,16.050271933784686
216.0,20.69223105670883
288.0,24.10912835039967
360.0,26.780503817706315
432.0,28.950147548665655
504.0,30.758794840711772
576.0,32.295188047924604
648.0,33.61900320838347
720.0,34.77237485010075
