Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
6.5859153407156565,0.00074637628790578,0.0003355696813905793,0.0005112581603294087,2.7118067811744708e-05,3.2885151032875884e-05,6.000429027252784e-07,7.277072723953673e-09,4.952351000257654e-12
12.745453833242975,0.0032654598016314024,0.003169221812445452,0.013862298315985526,0.0025097405752110536,0.010998197001265683,0.0010097700161804195,5.872557940845081e-05,1.7825045958289151e-07
19.859564275533437,0.006665256558116094,0.008960732368143364,0.06331428715424457,0.02088185616554623,0.1562096451679712,0.032674009700119244,0.003780530628407623,2.2100063669233228e-05
29.636218375770028,0.009973570799834295,0.01569011266844313,0.14143697968542018,0.07101403768650782,0.6994424691201347,0.29174231003028267,0.06432573443780737,0.0007110327391353515
38.510209500451076,0.01168879516597648,0.019125572804809966,0.18343170108503162,0.11307947567030467,1.2111645064195664,0.7941840163937365,0.28333848357027763,0.005166698256323432
44.27926135241061,0.01254790152365124,0.020631039623058654,0.19982660294444965,0.13341424279666714,1.4554777487985497,1.197819766942989,0.5383517647378946,0.012587853113815006
53.534396343568986,0.013920132321423079,0.022742196687404365,0.21958306789294715,0.15733315506934922,1.7232310735752552,1.8552704870325212,1.0800474118269614,0.03358222156558973
67.1100761534774,0.016303291543594688,0.026177596832360844,0.24903954231143452,0.18436570358537152,2.002464149836424,2.703331002095546,1.955496891094374,0.07825925770441541
85.71727087019256,0.020265975525292666,0.03196627100522948,0.2996487306150809,0.2225553276241494,2.4004256578693877,3.6601114615173733,3.0010704722931654,0.14258902786203181
107.36714766246381,0.0254031568203716,0.039605239221863306,0.36776906125671255,0.2738615453050221,2.933424462600683,4.65604073016935,3.93672452290557,0.20126777058720863
150.0,0.03631076090218479,0.05587387974623051,0.5122952555595178,0.3852579150635581,4.026945354268404,6.447268142911505,5.2403453534777125,0.2687847543982689
