Time (s),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
5.648234926193876,0.0004971646073847125,0.0001773658094714433,0.0001986001175875849,7.378418787258356e-06,1.6360727845735836e-05
11.76560711560882,0.0027942929224453704,0.0025131463137652976,0.009868871569596392,0.0015751552298973917,0.020307608594830082
19.396835707389332,0.0063559986795820676,0.008347813192036266,0.05686276763285456,0.018152820495495194,0.4700191092990927
27.64147281261737,0.009059585045925852,0.01363408010930357,0.11426080071393177,0.05301462317851295,2.128055607789268
34.811761223227194,0.010549156230517822,0.016443485081100724,0.14598850979866126,0.08164545954182513,4.236604527800957
42.40962991623049,0.01194163686544655,0.018672138245826277,0.16806465181707944,0.1052959468136061,6.372053485288754
52.12402590465119,0.014048957341431481,0.021723157654318318,0.19449082103096457,0.12990620644291054,8.462664781347888
64.52264249772361,0.01730843236109454,0.026533780836884534,0.23682516038713963,0.16220187648320433,10.524655915930813
85.44712969724469,0.023142038324925143,0.03539208570765405,0.31823421051079703,0.2249623866794394,13.726893233426718
111.51523780431602,0.03063742072035984,0.046677207147921444,0.4205586094457868,0.3061956847139565,17.16890369803242
150.0,0.042264142077131556,0.06411398854358535,0.5763003343969388,0.42825134655451447,21.218070985980923
